,Administrator,Administrator
,Menadžer administratora satnica,Tidssjefadministrator
,Nadređeni,En overlegen
,Zaposlenik,ansatt
,Odaberi...,Velg ...
,Nema dostupnih jezika.,Det finnes ingen tilgjengelige språk.
,Nema unesenih država.,Ingen land kom inn.
,Nema unesenih statusa.,Ingen status oppgitt.
,Januar,januar
,Februar,februar
,Mart,mars
,April,april
,Maj,mai
,Juni,juni
,Juli,juli
,Avgust,august
,Septembar,september
,Oktobar,oktober
,Novembar,november
,Decembar,desember
,Moj profil,Min profil
,Moji Zadaci/Ciljevi,Mine oppgaver / mål
,Moji Zahtjevi,Mine forespørsler
,Uredi profil,Rediger profil
,Zadaci/Ciljevi,Oppgaver / mål
,Zahtjevi,krav
,Korisnici,Brukerne
,Podešavanja,innstillinger
,Države,stat
,Informacije su uspješno sapšene!,Informasjonen har blitt tatt med suksess!
,Izmjene su uspješno sapšene!,Endringene ble beslaglagt med hell!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Brukernavnet er opptatt. Vennligst prøv noen andre.
,Greška!,Feil!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Vennligst skriv inn feil brukernavn og / eller passord, vennligst prøv igjen."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,"Kontoen din er deaktivert. For mer informasjon, kontakt oss."
,Uspješno!,Vellykket!
,Uspješno ste se odjavili.,Du har blitt logget ut.
,Neuspješno!,Feilet!
,Vaš korisnički nalog je deaktiviran.,Din konto er deaktivert.
,Korisničko ime,brukernavn
,Lozinka,passord
,Prijava!,Registrer deg!
,Zaboravili ste lozinku?,Glemt passordet ditt?
,Vaša e-mail adresa,Din e-postadresse
,Poništi lozinku,Tilbakestill passord
,Nazad na stranicu za prijavu,Tilbake til innloggingssiden
,"Poštovani,","Kjære herrer,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Du har bedt om tilbakestilt passord, nytt er vedlagt."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-post med instruksjoner sendt, vennligst sjekk meldingene på e-posten du oppgav i tilbakestillingsanmodningen om passord."
,Unesena e-ail adresa nije pronađena u bazi.,Den oppgitte e-postadressen ble ikke funnet i databasen.
,Ažuriranje!,Oppdatere!
