,Administrator,"
Administrador"
,Menadžer administratora satnica,Administrador de administrador de tiempo
,Nadređeni,Superior
,Zaposlenik,Empleado
,Odaberi...,Elige ...
,Nema dostupnih jezika.,No hay idiomas disponibles
,Nema unesenih država.,No hay países ingresados.
,Nema unesenih statusa.,No se ingresó estado
,Januar,Enero
,Februar,Febrero
,Mart,Marzo
,April,Abril
,Maj,Mayo
,Juni,Junio
,Juli,Julio
,Avgust,Agosto
,Septembar,Septiembre
,Oktobar,Octubre
,Novembar,Noviembre
,Decembar,Diciembre
,Moj profil,Mi perfil
,Moji Zadaci/Ciljevi,Mis tareas / metas
,Moji Zahtjevi,Mis peticiones
,Uredi profil,Editar perfil
,Zadaci/Ciljevi,Tareas / Metas
,Zahtjevi,Solicitudes
,Korisnici,Usuarios
,Podešavanja,Configuraciones
,Države,Países
,Informacije su uspješno sapšene!,¡La información ha sido capturada exitosamente!
,Izmjene su uspješno sapšene!,¡Los cambios fueron aprovechados con éxito!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,"El nombre de usuario está ocupado. Por favor, prueba con otra persona."
,Greška!,Error!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Ingrese el nombre de usuario y / o contraseña incorrectos, intente de nuevo."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Su cuenta ha sido desactivada. Para más información contáctenos.
,Uspješno!,¡Exitoso!
,Uspješno ste se odjavili.,Ha cerrado sesión exitosamente.
,Neuspješno!,¡Sin éxito!
,Vaš korisnički nalog je deaktiviran.,Su cuenta está desactivada.
,Korisničko ime,Nombre de usuario
,Lozinka,Contraseña
,Prijava!,Inicia sesión
,Zaboravili ste lozinku?,Olvidó su contraseña?
,Vaša e-mail adresa,Su dirección de correo electrónico
,Poništi lozinku,Restablecer contraseña
,Nazad na stranicu za prijavu,Volver a la página de inicio de sesión
,"Poštovani,","Hola,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Ha solicitado la contraseña de restablecimiento, se adjunta nueva."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Correo electrónico con instrucciones enviadas, verifique los mensajes en el correo electrónico que proporcionó en la solicitud de restablecimiento de contraseña."
,Unesena e-ail adresa nije pronađena u bazi.,La dirección de correo electrónico ingresada no se encontró en la base de datos.
,Ažuriranje!,Actualizando!
,Spasi!,Guardarlo!
,Osnovni podaci,Información básica
,Osnovni Podaci,Datos básicos
,Ime,Nombre
,Prezime,Apellido
,Fotografija,Foto
,Odaberi,Elija
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Formatos JPG / PNG / GIF permitidos. Dimensiones recomendadas 480x640 px (retrato).
,Kontakt Podaci,Datos de contacto
,Država,País
,Grad,Ciudad
,PTT,PTT
,Adresa,Dirección
,Telefon,Teléfono
,E-mail,E-mail
,Ostali Podaci,Otros datos
,Jezik aplikacije,Lenguaje de aplicación
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","ID de página incorrecto, póngase en contacto con el administrador."
,Prikaži,Mostrar
,Sakrij,Ocultar
,Generiši,Generar
,Moje satnice,Mi horario
,Novi unos,Nueva entrada
,Dali ste sigurni da želite brisati?,¿Estás seguro de que quieres eliminar?
,Još nije bilo unosa za:,Todavía no había una entrada para:
,Ukupno,Total
,Iskorišteno,Usado
,Ostalo,Otro
,Spašeno,Rescatado
,Odobreno,Aprobado
,Odbijeno,Rechazado
,Dan,Dan
,Broj sati,Numero de horas
,Status,Estado
,Pregled,Descripción general
,ODOBRENO,APROBADO
,ODBIJENO,ODBIJENO
,Obradio:,Procesado por:
,Komentar:,Comentario:
,Period od-do:,Período de-a:
,do,para
