,Administrator,"
Administrator"
,Menadžer administratora satnica,Menaxheri i administratorit të kohës
,Nadređeni,A superior
,Zaposlenik,punonjës
,Odaberi...,Zgjidh ...
,Nema dostupnih jezika.,Nuk ka gjuhë të disponueshme.
,Dodaj službeno putovanje,Shto një udhëtim biznesi
,Nema unesenih država.,Asnjë shtet nuk hyri.
,Nema unesenih statusa.,Nuk ka hyrë statusi.
,Januar,janar
,Februar,shkurt
,Mart,mars
,April,prill
,Maj,maj
,Juni,qershor
,Juli,korrik
,Avgust,gusht
,Septembar,shtator
,Oktobar,tetor
,Novembar,nëntor
,Decembar,dhjetor
,Moj profil,Profili im
,Moji Zadaci/Ciljevi,Detyrat / synimet e mia
,Moji Zahtjevi,Kërkesat e mia
,Uredi profil,Ndrysho profilin
,Zadaci/Ciljevi,Detyrat / Qëllimet
,Zahtjevi,kërkesat
,Korisnici,përdoruesit
,Podešavanja,Cilësimet
,Države,shtet
,Informacije su uspješno sapšene!,Informacioni është kapur me sukses!
,Izmjene su uspješno sapšene!,Ndryshimet u konfiskuan me sukses!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Emri i përdoruesit është i zënë. Ju lutemi provoni dikush tjetër.
,Greška!,Error!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Ju lutemi shkruani emrin e përdoruesit të gabuar dhe / ose fjalëkalimin, ju lutem provoni përsëri."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Llogaria juaj është çaktivizuar. Për më shumë informacion na kontaktoni.
,Uspješno!,I suksesshëm!
,Uspješno ste se odjavili.,Ke nënshkruar me sukses.
,Neuspješno!,Dështoi!
,Vaš korisnički nalog je deaktiviran.,Llogaria juaj është çaktivizuar.
,Korisničko ime,emri i përdoruesit
,Lozinka,fjalëkalim
,Prijava!,Sign up!
,Zaboravili ste lozinku?,Keni harruar fjalëkalimin tuaj?
,Vaša e-mail adresa,Adresa juaj e e-mailit
,Poništi lozinku,Rivendos fjalëkalimin
,Nazad na stranicu za prijavu,Kthehu tek faqja Hyrëse
,"Poštovani,","Të nderuar Zotërinj,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Keni kërkuar fjalëkalimin e rivendosjes, është bashkëngjitur një e re."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mail me udhëzimet e dërguara, ju lutemi kontrolloni mesazhet në emailin që keni dhënë në kërkesën për rivendosjen e fjalëkalimit."
,Unesena e-ail adresa nije pronađena u bazi.,E-mail adresa e regjistruar nuk u gjet në bazën e të dhënave.
,Ažuriranje!,Update!
,Spasi!,Ruaj atë!
,Osnovni podaci,Informacion bazë
,Osnovni Podaci,Të dhëna bazë
,Ime,emër
,Prezime,mbiemër
,Fotografija,fotografi
,Odaberi,zgjedh
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Formatet e lejuara JPG / PNG / GIF. Dimensionet e rekomanduara 480x640 px (portret).
,Kontakt Podaci,Kontaktoni të dhënat
,Država,vend
,Grad,qytet
,PTT,PTT
,Adresa,adresë
,Telefon,telefon
,E-mail,E-mail
,Ostali Podaci,Të dhëna të tjera
,Jezik aplikacije,Gjuha e aplikimit
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","ID e pasaktë e faqes, ju lutemi kontaktoni administratorin."
,Prikaži,shfaqje
,Sakrij,fsheh
,Generiši,Generate
,Moje satnice,Orari im
,Novi unos,Hyrja e re
,Dali ste sigurni da želite brisati?,Jeni i sigurt që doni të fshini?
,Još nije bilo unosa za:,Nuk kishte ende një hyrje për:
,Ukupno,total
,Iskorišteno,shfrytëzohen
,Ostalo,tjetër
,Spašeno,ruajtur
,Odobreno,dhënë
,Odbijeno,refuzuar
,Dan,ditë
,Broj sati,Numri i orëve
,Status,Statusi
,Pregled,pasqyrë
,ODOBRENO,MIRATOHET
,ODBIJENO,REFUZOHET
,Obradio:,Përpunohet nga:
,Komentar:,Koment:
,Period od-do:,Periudha nga-në:
,do,në
,Pregled/obrada zadatka,Përmbledhje / përpunim detyre
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","Detyra nuk është pranuar ende nga ju, dhe për këtë arsye nuk është e mundur të përpunohen pikat e detyrës."
,Prihvati zadatak,Pranoje detyrën
,Zaduženi:,akuza:
,Izvršiti do:,Ekzekuto në:
,Kreirao:,Krijuar nga:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.",Detyra / Qëllimi shënohet si i përfunduar dhe prandaj nuk mund ta ndryshoni statusin e detyrës. Ju mund të ndiqni cometers këtu dhe vlerësoni detyrën këtu.
