,Administrator,Administratör
,Menadžer administratora satnica,Tidadministratörshanterare
,Nadređeni,En överlägsen
,Zaposlenik,anställd
,Odaberi...,Välj ...
,Nema dostupnih jezika.,Det finns inga tillgängliga språk.
,Nema unesenih država.,Inga länder gick in.
,Nema unesenih statusa.,Ingen status inmatad.
,Januar,januari
,Februar,februari
,Mart,mars
,April,april
,Maj,maj
,Juni,juni
,Juli,juli
,Avgust,augusti
,Septembar,september
,Oktobar,oktober
,Novembar,november
,Decembar,december
,Moj profil,Min profil
,Moji Zadaci/Ciljevi,Mina uppdrag / mål
,Moji Zahtjevi,Mina önskemål
,Uredi profil,Redigera profil
,Zadaci/Ciljevi,Uppgifter / Mål
,Zahtjevi,krav
,Korisnici,användarna
,Podešavanja,inställningar
,Države,tillstånd
,Informacije su uspješno sapšene!,Informationen har tagits med framgång!
,Izmjene su uspješno sapšene!,Ändringarna togs med framgång!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Användarnamnet är upptaget. Var god försök någon annan.
,Greška!,Fel!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Ange fel användarnamn och / eller lösenord, var god försök igen."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Ditt konto har inaktiverats. För mer information kontakta oss.
,Uspješno!,Lyckad!
,Uspješno ste se odjavili.,Du har lyckats logga ut.
,Neuspješno!,Misslyckades!
,Vaš korisnički nalog je deaktiviran.,Ditt konto är inaktiverat.
,Korisničko ime,användarnamn
,Lozinka,lösenord
,Prijava!,Bli medlem
,Zaboravili ste lozinku?,Glömt ditt lösenord?
,Vaša e-mail adresa,Din e-postadress
,Poništi lozinku,Återställ lösenord
,Nazad na stranicu za prijavu,Tillbaka till inloggningssidan
,"Poštovani,","Kära herrar,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Du har begärt återställt lösenord, nytt är bifogat."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-post med instruktioner skickade, kolla meddelandena på e-postmeddelandet som du angav i begäran om lösenordsåterställning."
,Unesena e-ail adresa nije pronađena u bazi.,Den angivna e-postadressen hittades inte i databasen.
,Ažuriranje!,Uppdatera!
,Spasi!,Spara det!
,Osnovni podaci,Grundläggande information
,Osnovni Podaci,Grunddata
,Ime,namn
,Prezime,efternamn
,Fotografija,fotografering
,Odaberi,Välj
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Tillåtna JPG / PNG / GIF-format. Rekommenderade dimensioner 480x640 px (porträtt).
,Kontakt Podaci,Kontaktuppgifter
,Država,land
,Grad,stad
,PTT,PTT
,Adresa,adress
,Telefon,telefon
,E-mail,E-post
,Ostali Podaci,Övriga data
,Jezik aplikacije,Ansökningsspråk
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Felaktigt sid ID, kontakta administratören."
,Prikaži,Visa
,Sakrij,Göm
,Generiši,generera
,Moje satnice,Mitt schema
,Novi unos,Ny post
,Dali ste sigurni da želite brisati?,Är du säker på att du vill radera?
,Još nije bilo unosa za:,Det fanns ännu ingen post för:
,Ukupno,totalt
,Iskorišteno,utnyttjas
,Ostalo,andra
,Spašeno,sparade
,Odobreno,beviljats
,Odbijeno,Avvisad
,Dan,dag
,Broj sati,Antal timmar
,Status,status
,Pregled,översikt
,ODOBRENO,GODKÄND
,ODBIJENO,AVSLAGEN
,Obradio:,Bearbetas av:
,Komentar:,kommentera:
,Period od-do:,Period från-till:
,do,till
