,Administrator,Administrator
,Menadžer administratora satnica,Administrator de administrator de timp
,Nadređeni,O superioară
,Zaposlenik,angajat
,Odaberi...,Alegeți ...
,Nema dostupnih jezika.,Nu există limbi disponibile.
,Dodaj službeno putovanje,Adăugați o călătorie de afaceri
,Nema unesenih država.,Nu au intrat țări.
,Nema unesenih statusa.,Nu a fost introdus niciun statut.
,Januar,ianuarie
,Februar,februarie
,Mart,martie
,April,aprilie
,Maj,mai
,Juni,iunie
,Juli,iulie
,Avgust,august
,Septembar,septembrie
,Oktobar,octombrie
,Novembar,noiembrie
,Decembar,decembrie
,Moj profil,Profilul meu
,Moji Zadaci/Ciljevi,Sarcinile / obiectivele mele
,Moji Zahtjevi,Cererile mele
,Uredi profil,Editați profilul
,Zadaci/Ciljevi,Sarcini / Obiective
,Zahtjevi,cerinţe
,Korisnici,utilizatorii
,Podešavanja,Setări
,Države,stat
,Informacije su uspješno sapšene!,Informația a fost capturată cu succes!
,Izmjene su uspješno sapšene!,Modificările au fost confiscate cu succes!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Numele de utilizator este ocupat. Încercați altcineva.
,Greška!,Eroare!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Introduceți numele de utilizator și / sau parola greșit, încercați din nou."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Contul dvs. a fost dezactivat. Pentru mai multe informații contactați-ne.
,Uspješno!,Cu succes!
,Uspješno ste se odjavili.,V-ați deconectat cu succes.
,Neuspješno!,Nu a reușit!
,Vaš korisnički nalog je deaktiviran.,Contul dvs. este dezactivat.
,Korisničko ime,nume utilizator
,Lozinka,parolă
,Prijava!,Înregistrează-te!
,Zaboravili ste lozinku?,Ați uitat parola?
,Vaša e-mail adresa,Adresa dvs. de e-mail
,Poništi lozinku,Resetați parola
,Nazad na stranicu za prijavu,Înapoi la pagina de conectare
,"Poštovani,","Stimati domni,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Ați solicitat parola de resetare, este atașat un nou."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Trimiteți un e-mail cu instrucțiunile trimise, verificați mesajele din e-mailul furnizat în solicitarea de resetare a parolei."
,Unesena e-ail adresa nije pronađena u bazi.,Adresa de e-mail introdusă nu a fost găsită în baza de date.
,Ažuriranje!,Update!
,Spasi!,Salvează-l!
,Osnovni podaci,Informații de bază
,Osnovni Podaci,Datele de bază
,Ime,nume
,Prezime,nume de familie
,Fotografija,fotografie
,Odaberi,selecta
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Formate acceptate JPG / PNG / GIF. Dimensiuni recomandate 480x640 px (portret).
,Kontakt Podaci,Datele de contact
,Država,țară
,Grad,oraș
,PTT,PTT
,Adresa,adresa
,Telefon,telefon
,E-mail,E-mail
,Ostali Podaci,Alte date
,Jezik aplikacije,Limba aplicației
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Codul paginii incorect, contactați administratorul."
,Prikaži,spectacol
,Sakrij,ascunde
,Generiši,genera
,Moje satnice,Programul meu
,Novi unos,Intrare nouă
,Dali ste sigurni da želite brisati?,Sigur doriți să ștergeți?
,Još nije bilo unosa za:,Nu a fost încă o intrare pentru:
,Ukupno,total
,Iskorišteno,utilizate
,Ostalo,alte
,Spašeno,salvate
,Odobreno,acordat
,Odbijeno,respins
,Dan,zi
,Broj sati,Numărul de ore
,Status,stare
,Pregled,Privire de ansamblu asupra
,ODOBRENO,APROBAT
,ODBIJENO,RESPINSĂ
,Obradio:,Procesat de:
,Komentar:,comentariu:
,Period od-do:,Perioada de la-la:
,do,la
,Pregled/obrada zadatka,Prelucrare generală / sarcină
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","Sarcina nu este acceptată încă de dvs. și, prin urmare, nu este posibilă procesarea elementelor de activitate."
,Prihvati zadatak,Acceptați sarcina
,Zaduženi:,taxa:
,Izvršiti do:,Executați la:
,Kreirao:,Creat de:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.","Sarcina / obiectivul este marcat ca finalizat și, prin urmare, nu puteți schimba starea sarcinii. Puteți urmări veniturile aici și puteți evalua sarcina aici."
