,Administrator,"
Amministratore"
,Menadžer administratora satnica,Tempo amministratore amministratore
,Nadređeni,Un superiore
,Zaposlenik,dipendente
,Odaberi...,Scegli ...
,Nema dostupnih jezika.,Non ci sono lingue disponibili.
,Nema unesenih država.,Nessun paese inserito.
,Nema unesenih statusa.,Nessuno stato inserito
,Januar,gennaio
,Februar,febbraio
,Mart,marzo
,April,aprile
,Maj,maggio
,Juni,giugno
,Juli,luglio
,Avgust,agosto
,Septembar,settembre
,Oktobar,ottobre
,Novembar,novembre
,Decembar,dicembre
,Moj profil,Il mio profilo
,Moji Zadaci/Ciljevi,I miei compiti / obiettivi
,Moji Zahtjevi,Le mie richieste
,Uredi profil,Modifica profilo
,Zadaci/Ciljevi,Compiti / Obiettivi
,Zahtjevi,requisiti
,Korisnici,gli utenti
,Podešavanja,impostazioni
,Države,stato
,Informacije su uspješno sapšene!,Le informazioni sono state acquisite con successo!
,Izmjene su uspješno sapšene!,I cambiamenti sono stati sequestrati con successo!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Il nome utente è occupato. Per favore prova qualcun altro.
,Greška!,Errore!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Per favore inserisci il nome utente e / o la password sbagliati, per favore riprova."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Il tuo account è stato disattivato. Per maggiori informazioni contattaci.
,Uspješno!,Di successo!
,Uspješno ste se odjavili.,Sei uscito con successo.
,Neuspješno!,Impossibile!
,Vaš korisnički nalog je deaktiviran.,Il tuo account è disattivato.
,Korisničko ime,nome utente
,Lozinka,password
,Prijava!,Iscriviti!
,Zaboravili ste lozinku?,Hai dimenticato la password?
,Vaša e-mail adresa,Il tuo indirizzo e-mail
,Poništi lozinku,Reimposta password
,Nazad na stranicu za prijavu,Torna alla pagina di accesso
,"Poštovani,","Egregi Signori,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Hai richiesto la reimpostazione della password, nuovo è allegato."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mail con le istruzioni inviate, controlla i messaggi sull'e-mail che hai fornito nella richiesta di reimpostazione della password."
,Unesena e-ail adresa nije pronađena u bazi.,L'indirizzo e-mail inserito non è stato trovato nel database.
,Ažuriranje!,Aggiornamento!
,Spasi!,Salvalo!
