,Administrator,Administrateur
,Menadžer administratora satnica,Tijd beheerder
,Nadređeni,Een superieure
,Zaposlenik,werknemer
,Odaberi...,Kies ...
,Nema dostupnih jezika.,Er zijn geen beschikbare talen.
,Nema unesenih država.,Geen landen ingevoerd.
,Nema unesenih statusa.,Geen status ingevoerd.
,Januar,januari
,Februar,februari
,Mart,maart
,April,april
,Maj,mei
,Juni,juni
,Juli,juli
,Avgust,augustus
,Septembar,september
,Oktobar,oktober
,Novembar,november
,Decembar,december
,Moj profil,Mijn profiel
,Moji Zadaci/Ciljevi,Mijn taken / doelen
,Moji Zahtjevi,Mijn verzoeken
,Uredi profil,Bewerk profiel
,Zadaci/Ciljevi,Taken / Doelstellingen
,Zahtjevi,vereisten
,Korisnici,de gebruikers
,Podešavanja,instellingen
,Države,staat
,Informacije su uspješno sapšene!,De informatie is met succes vastgelegd!
,Izmjene su uspješno sapšene!,De wijzigingen zijn succesvol verwerkt!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Gebruikersnaam is bezet. Probeer alstublieft iemand anders.
,Greška!,Fout!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Voer de verkeerde gebruikersnaam en / of wachtwoord in, probeer het opnieuw."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Uw account is gedeactiveerd. Neem voor meer informatie contact met ons op.
,Uspješno!,Geslaagd!
,Uspješno ste se odjavili.,U bent succesvol afgemeld.
,Neuspješno!,Mislukt!
,Vaš korisnički nalog je deaktiviran.,Uw account is gedeactiveerd.
,Korisničko ime,gebruikersnaam
,Lozinka,wachtwoord
,Prijava!,Meld je aan!
,Zaboravili ste lozinku?,Wachtwoord vergeten?
,Vaša e-mail adresa,Uw e-mailadres
,Poništi lozinku,Wachtwoord opnieuw instellen
,Nazad na stranicu za prijavu,Terug naar inlogpagina
,"Poštovani,","Geachte heren,"
,"Zatražili ste reset lozinke, nova je u prilogu.","U hebt gevraagd om het wachtwoord opnieuw in te stellen, nieuw is bijgevoegd."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mail met instructies verzonden, controleer de berichten op de e-mail die u hebt opgegeven in het verzoek voor het opnieuw instellen van het wachtwoord."
,Unesena e-ail adresa nije pronađena u bazi.,Het ingevoerde e-mailadres is niet gevonden in de database.
,Ažuriranje!,Update!
,Spasi!,Bewaar het!
,Osnovni podaci,Basis informatie
,Osnovni Podaci,Basisgegevens
,Ime,naam
,Prezime,achternaam
,Fotografija,fotografie
,Odaberi,kiezen
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Toegestane JPG / PNG / GIF-indelingen. Aanbevolen afmetingen 480x640 px (portret).
,Kontakt Podaci,Contact gegevens
,Država,land
,Grad,stad
,PTT,PTT
,Adresa,adres
,Telefon,telefoon
,E-mail,E-mail
,Ostali Podaci,Andere gegevens
,Jezik aplikacije,Toepassing taal
