,Administrator,Administrátor
,Menadžer administratora satnica,Správce správce času
,Nadređeni,Vynikající
,Zaposlenik,Zaměstnanec
,Odaberi...,Vyberte si ...
,Nema dostupnih jezika.,Nejsou k dispozici žádné jazyky.
,Dodaj službeno putovanje,Přidejte služební cestu
,Nema unesenih država.,Nevstupovaly žádné země.
,Nema unesenih statusa.,Žádný stav nebyl zadán.
,Januar,Leden
,Februar,Únor
,Mart,Března
,April,Duben
,Maj,Květen
,Juni,Červen
,Juli,Červenec
,Avgust,Srpen
,Septembar,Září
,Oktobar,Říjen
,Novembar,Listopad
,Decembar,Prosinec
,Moj profil,Můj profil
,Moji Zadaci/Ciljevi,Moje úkoly / cíle
,Moji Zahtjevi,Moje žádosti
,Uredi profil,Upravit profil
,Zadaci/Ciljevi,Úkoly / cíle
,Zahtjevi,Žádosti
,Korisnici,Uživatelé
,Podešavanja,Nastavení
,Države,Země
,Informacije su uspješno sapšene!,Informace byly úspěšně zachyceny!
,Izmjene su uspješno sapšene!,Změny byly úspěšně zabaveny!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Uživatelské jméno je obsazeno. Zkuste někdo jiný.
,Greška!,Chyba!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Zadejte prosím nesprávné uživatelské jméno nebo heslo, zkuste to prosím znovu."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Váš účet byl deaktivován. Pro více informací kontaktujte nás.
,Uspješno!,Úspěšně!
,Uspješno ste se odjavili.,Úspěšně jste se odhlásili.
,Neuspješno!,Neúspěšný!
,Vaš korisnički nalog je deaktiviran.,Váš účet je deaktivován.
,Korisničko ime,Uživatelské jméno
,Lozinka,Heslo
,Prijava!,Přihlásit se!
,Zaboravili ste lozinku?,Zapomněli jste heslo?
,Vaša e-mail adresa,Vaše e-mailová adresa
,Poništi lozinku,Resetovat heslo
,Nazad na stranicu za prijavu,Zpět na přihlašovací stránku
,"Poštovani,","Dobrý den,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Požádali jste o obnovení hesla, nové je připojeno."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mail s pokyny, které jste odeslali, naleznete v e-mailu, který jste zadali v žádosti o obnovení hesla."
,Unesena e-ail adresa nije pronađena u bazi.,Zadaná e-mailová adresa nebyla v databázi nalezena.
,Ažuriranje!,Aktualizace!
,Spasi!,Uložit to!
,Osnovni podaci,Základní informace
,Osnovni Podaci,Základní údaje
,Ime,Jméno
,Prezime,Příjmení
,Fotografija,Foto
,Odaberi,Vyberte si
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Povolené formáty JPG / PNG / GIF. Doporučené rozměry 480x640 px (na výšku).
,Kontakt Podaci,Kontaktní údaje
,Država,Země
,Grad,Město
,PTT,PTT
,Adresa,Adresa
,Telefon,Telefon
,E-mail,E-mail
,Ostali Podaci,Jiné údaje
,Jezik aplikacije,Jazyk aplikace
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Nesprávné ID stránky, kontaktujte správce."
,Prikaži,Zobrazit
,Sakrij,Skrýt
,Generiši,Generovat
,Moje satnice,Můj plán
,Novi unos,Nový záznam
,Dali ste sigurni da želite brisati?,Opravdu chcete smazat?
,Još nije bilo unosa za:,Záznam nebyl dosud k dispozici:
,Ukupno,Celkem
,Iskorišteno,Použité
,Ostalo,Ostatní
,Spašeno,Zachránil
,Odobreno,Schváleno
,Odbijeno,Odmítnuto
,Dan,Dan
,Broj sati,Počet hodin
,Status,Stav
,Pregled,Přehled
,ODOBRENO,SCHVÁLENO
,ODBIJENO,ODBIJENO
,Obradio:,Zpracoval:
,Komentar:,Komentář:
,Period od-do:,Doba od-do:
,do,na
,Pregled/obrada zadatka,Přehled / zpracování úloh
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","Úkol ještě nepřijímáte, a proto není možné zpracovat položky úlohy."
,Prihvati zadatak,Přijměte úkol
,Zaduženi:,Odpovídá:
,Izvršiti do:,Proveďte:
