,Administrator,adminisztrátor
,Menadžer administratora satnica,Idő adminisztrátor menedzser
,Nadređeni,A kiváló
,Zaposlenik,munkavállaló
,Odaberi...,Válasszon ...
,Nema dostupnih jezika.,Nincsenek elérhető nyelvek.
,Dodaj službeno putovanje,Add hozzá üzleti útra
,Nema unesenih država.,Nem lépett be országok.
,Nema unesenih statusa.,Nincs megadva állapot.
,Januar,január
,Februar,február
,Mart,március
,April,április
,Maj,május
,Juni,június
,Juli,július
,Avgust,augusztus
,Septembar,szeptember
,Oktobar,október
,Novembar,november
,Decembar,december
,Moj profil,A profilom
,Moji Zadaci/Ciljevi,Saját feladatok / célok
,Moji Zahtjevi,Kérelmem
,Uredi profil,Profil szerkesztése
,Zadaci/Ciljevi,Feladatok / célok
,Zahtjevi,követelmények
,Korisnici,a felhasználók
,Podešavanja,Beállítások
,Države,állami
,Informacije su uspješno sapšene!,Az információkat sikeresen rögzítették!
,Izmjene su uspješno sapšene!,A változtatásokat sikeresen lefoglalták!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,A felhasználónév elfoglalt. Próbálkozz valakivel.
,Greška!,Hiba!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Kérjük, adja meg a rossz felhasználónevet és / vagy jelszót, próbálkozzon újra."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,A fiókját deaktiváltuk. További információért forduljon hozzánk.
,Uspješno!,Sikeres!
,Uspješno ste se odjavili.,Sikeresen jelentkezett ki.
,Neuspješno!,Nem sikerült!
,Vaš korisnički nalog je deaktiviran.,Fiókja ki van kapcsolva.
,Korisničko ime,felhasználónév
,Lozinka,jelszó
,Prijava!,Regisztráció!
,Zaboravili ste lozinku?,Elfelejtette jelszavát?
,Vaša e-mail adresa,Az e-mail címed
,Poništi lozinku,Jelszó visszaállítása
,Nazad na stranicu za prijavu,Vissza a bejelentkezéshez
,"Poštovani,","Tisztelt Uraim,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Kért reset jelszót, az új csatolva van."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mailben küldött utasításokkal, kérjük, ellenőrizze a jelszó-visszaállítási kérelemben megadott e-mail üzeneteket."
,Unesena e-ail adresa nije pronađena u bazi.,A megadott e-mail cím nem található az adatbázisban.
,Ažuriranje!,Frissítse!
,Spasi!,Mentse el!
,Osnovni podaci,Alapvető információk
,Osnovni Podaci,Alapadatok
,Ime,név
,Prezime,vezetéknév
,Fotografija,fényképezés
,Odaberi,választ
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Engedélyezett JPG / PNG / GIF formátumok. Javasolt méretek 480x640 px (portré).
,Kontakt Podaci,Kapcsolatfelvételi adatok
,Država,ország
,Grad,város
,PTT,PTT
,Adresa,cím
,Telefon,telefon
,E-mail,E-mail
,Ostali Podaci,Egyéb adatok
,Jezik aplikacije,Alkalmazási nyelv
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Helytelen oldalazonosító, kérjük, lépjen kapcsolatba a rendszergazdával."
,Prikaži,mutat
,Sakrij,elrejt
,Generiši,generálása
,Moje satnice,Az én menetrendem
,Novi unos,Új bejegyzés
,Dali ste sigurni da želite brisati?,Biztosan törölni akarja?
,Još nije bilo unosa za:,Még nincs bejegyzés a következőhöz:
,Ukupno,teljes
,Iskorišteno,hasznosított
,Ostalo,más
,Spašeno,mentett
,Odobreno,megadott
,Odbijeno,Elutasítva
,Dan,nap
,Broj sati,Órák száma
,Status,állapot
,Pregled,áttekintés
,ODOBRENO,hitelesített
,ODBIJENO,ELUTASÍTOTT
,Obradio:,Feldolgozta:
,Komentar:,megjegyzés:
,Period od-do:,Időszak-tól:
,do,hogy
,Pregled/obrada zadatka,Áttekintés / feladatfeldolgozás
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","A feladatot még nem fogadta el, ezért a feladatelemeket nem lehet feldolgozni."
,Prihvati zadatak,Fogadja el a feladatot
,Zaduženi:,díj:
,Izvršiti do:,Végrehajtandó:
,Kreirao:,Készítette:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.","A feladat / cél megjelölése befejeződött, ezért nem módosíthatja a feladat állapotát. Itt követheti a cometert, és itt értékelheti a feladatot."
,stavke su završene. sada možete Zadatak oznaćiti završenim.,Az elemek elkészültek. most már megjelölheti a feladatot.
,Završi zadatak,A feladat befejezése
,Komentari,Comments
,Ostavite komentar,Hagy egy megjegyzést
,Dodaj komentar!,Hozzászólás!
,"Zadatak je završen i ocjenjen, a s tim su i komentari zatvoreni.","A feladat befejeződött és kiértékelésre került, így a megjegyzéseket lezárták."
,Ocjena:,Értékelés:
,Pozicija,pozíció
,Sektor,ágazat
,Nadređeni korisnik,Kiváló felhasználó
,Datum registracije,A regisztráció időpontja
,Datum reaktivacije,Újraaktiválási dátum
,Satnice,kapitány
,Dodaj godinu,Add év
,Dodaj mjesec,Hónap hozzáadása
,Još niste počeli unositi satnice,Még nem kezdte meg az ütemterv beírását
,Aktivni,aktív
,Arhiva,levéltár
,Zahtjev za G.O.,Kérelem a G.O.
,Od:,re:
,Do:,hogy:
,Na čekanju...,Várakozás ...
,Zahtjev kreiran:,A létrehozott kérelem:
,Zahtjev odobren:,Jóváhagyott kérelem:
,Zahtjev odbijen:,Kérés megtagadva:
,Dali ste sigurni da želite poništiti zahtjev?,Biztosan törölni szeretné a kérést?
,Dali ste sigurni da želite arhivirati zahtjev?,Biztosan archiválja a kérést?
,Nema spašenih zahtjeva prema odabranim parametrima.,Nincsenek mentett kérelmek a kiválasztott paraméterekre.
,Na čekanju,függőben levő
,Prihvaćen,elfogadott
,Završen,befejezett
,Dali ste sigurni da želite arhivirati zadatak?,Biztosan archiválja a feladatot?
,Nema spašenih zadataka prema odabranim parametrima.,Nincsenek mentett feladatok a kiválasztott paraméterekhez.
,Neovlašten pristup,Jogosulatlan hozzáférés
,"Nemate ovlasti za pristup ovom dijelu aplikacije. Ukoliko je doslo do greške, kontaktirajte administratora.","Ön nem rendelkezik jogosultsággal az alkalmazás e része eléréséhez. Ha hiba történt, lépjen kapcsolatba a rendszergazdával."
,Nazad na moj profil,Vissza a profilomhoz
,Zahtjevi za G.O.,A G.O.
,Obrada zahtjeva!,A kérés feldolgozása!
,Status zahtjeva:,Kérelem státusza:
,Komentar,megjegyzés
,Gradovi,városok
,"Lista unešenih gradova, koji su obavezni za kreiranje destinacija i rezervacija.","A beírt városok listája, amelyek célállomások és fenntartások létrehozásához szükségesek."
,Naziv,név
,Dali ste sigurni da želite brisati:,Biztosan törölni szeretné:
,Još nije bilo unosa,Még nem volt bejegyzés
,Općenito,áttekintés
,Naslov aplikacije,Alkalmazás címe
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 400x200 px.,Engedélyezett JPG / PNG / GIF formátumok. Javasolt méretek: 400x200 px.
,Boje aplikacije,Alkalmazási színek
,Pozadina aplikacije,A pályázat háttere
,Boja teksta aplikacije,Alkalmazási szöveg színe
,Pozadina gornje trake - HEADER,Hátsó sáv - HEADER
,Boja teksta gornje trake - HEADER,A felső szalag színe - HEADER
,Boja teksta gornje trake - HEADER (:hover :active),A felső szalag színének szövege - HEADER (: lebeg: aktív)
,"Boja naslova (H1,H2,H3,H4,H5,H6)","Cím színe (H1, H2, H3, H4, H5, H6)"
,Pozadina - BUTTONS,Háttér - GOMBOK
,Tekst i ikona - BUTTONS,Szöveg és ikon - GOMBOK
,SMTP parametri,SMTP paraméterek
,SMTP status,SMTP állapot
,"Ukoliko je SMTP neaktivan ili su parametri nepotupni, sistem ce koristiti standardnu PHP MAIL() funkciju.","Ha az SMTP inaktív vagy a paraméterek nem állnak rendelkezésre, a rendszer a standard PHP MAIL () függvényt használja."
,SMTP host,SMTP-fogadó
,SMTP korisnik,SMTP felhasználó
,SMTP lozinka,SMTP jelszó
,SMTP port,SMTP port
,SMTP sigurnost,SMTP biztonság
,Jezici aplikacije,Alkalmazási nyelvek
,Kod,a
,Statusi satnice,Óránkénti állapot
,Direkcija teksta,A szöveg irányítása
,Dali ste sigurni da želite poništiti zadatak?,Biztosan törölni szeretné a feladatot?
,Zadatak jos nije prihvaćen od strane zaduženog korinika7.,A feladatot még nem fogadta el az eladósodott korinki7.
,Ocjeni!,Rate!
