,Administrator,Администратор
,Menadžer administratora satnica,Менаџер администратора сатница
,Nadređeni,Надређени
,Zaposlenik,Запосленик
,Odaberi...,Одабери...
,Nema dostupnih jezika.,Нема доступних језика.
,Dodaj službeno putovanje,Додај службено путовање
,Nema unesenih država.,Нема унесених држава.
,Nema unesenih statusa.,Нема унесених статуса.
,Januar,Јануар
,Februar,Фебруар
,Mart,Март
,April,Април
,Maj,Мај
,Juni,Јуни
,Juli,Јули
,Avgust,Август
,Septembar,Септембар
,Oktobar,Октобар
,Novembar,Новембар
,Decembar,Децембар
,Moj profil,Мој Профил
,Moji Zadaci/Ciljevi,Моји Задаци/Циљеви
,Moji Zahtjevi,Моји Захтјеви
,Uredi profil,Уреди профил
,Zadaci/Ciljevi,Задаци/Циљеви
,Zahtjevi,Захтјеви
,Korisnici,Корисници
,Podešavanja,Подешавања
,Države,Државе
,Informacije su uspješno sapšene!,Информације су успјешно сапшене!
,Izmjene su uspješno sapšene!,Измјене су успјешно сапшене!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Корисничко име је заузето. Молимо покушајте са неким другим.
,Greška!,Грешка!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Погрешно корисичко име и/или лозинка, молимо покушајте поново."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Ваш рачун је деактивиран. За више информација контактирајте  нас.
,Uspješno!,Успјешно
,Uspješno ste se odjavili.,Успјешно сте се ођавили.
,Neuspješno!,Неуспјешно!
,Vaš korisnički nalog je deaktiviran.,Ваш кориснички налог је деактивиран.
,Korisničko ime,Корисничко име
,Lozinka,Лозинка
,Prijava!,Пријава!
,Zaboravili ste lozinku?,Заборавили сте лозинку?
,Vaša e-mail adresa,
,Poništi lozinku,
,Nazad na stranicu za prijavu,
,"Poštovani,",
,"Zatražili ste reset lozinke, nova je u prilogu.",
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,
,Unesena e-ail adresa nije pronađena u bazi.,
,Ažuriranje!,
,Spasi!,Спаси!
,Osnovni podaci,Основни подаци
,Osnovni Podaci,Основни Подаци
,Ime,Име
,Prezime,Презиме
