,Administrator,yönetici
,Menadžer administratora satnica,Zaman yöneticisi yöneticisi
,Nadređeni,üstün
,Zaposlenik,işçi
,Odaberi...,Seç ...
,Nema dostupnih jezika.,Mevcut dil yok.
,Dodaj službeno putovanje,Bir iş gezisi ekleyin
,Nema unesenih država.,Hiçbir ülke girilmedi.
,Nema unesenih statusa.,Durum girilmedi.
,Januar,Ocak
,Februar,Şubat
,Mart,Mart
,April,Nisan
,Maj,Mayıs
,Juni,Haziran
,Juli,Temmuz
,Avgust,Ağustos
,Septembar,Eylül
,Oktobar,Ekim
,Novembar,Kasım
,Decembar,Aralık
,Moj profil,Profilim
,Moji Zadaci/Ciljevi,Görevlerim / Hedeflerim
,Moji Zahtjevi,İsteklerim
,Uredi profil,Profili düzenle
,Zadaci/Ciljevi,Görevler / Hedefler
,Zahtjevi,Gereksinim
,Korisnici,kullanıcılar
,Podešavanja,Ayarlar
,Države,devlet
,Informacije su uspješno sapšene!,Bilgiler başarıyla ele geçirildi!
,Izmjene su uspješno sapšene!,Değişiklikler başarıyla ele geçirildi!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Kullanıcı adı meşgul. Lütfen başka birini deneyin.
,Greška!,Hata!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Lütfen yanlış kullanıcı adını ve / veya şifresini girin, lütfen tekrar deneyin."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Hesabınız devre dışı bırakıldı. Daha fazla bilgi için bize ulaşın.
,Uspješno!,Başarılı!
,Uspješno ste se odjavili.,Başarıyla imzalandınız.
,Neuspješno!,Başarısız!
,Vaš korisnički nalog je deaktiviran.,Hesabınız devre dışı bırakıldı.
,Korisničko ime,kullanıcı adı
,Lozinka,şifre
,Prijava!,Kaydolun!
,Zaboravili ste lozinku?,Şifrenizi mi unuttunuz?
,Vaša e-mail adresa,E-posta adresiniz
,Poništi lozinku,Şifreyi sıfırla
,Nazad na stranicu za prijavu,Giriş sayfasına geri dön
,"Poštovani,","Sayın Baylar,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Şifre sıfırlamanızı talep ettiniz, yeni takıldı."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Talimatların gönderildiği e-posta, lütfen şifre sıfırlama isteğinde verdiğiniz e-postadaki iletileri kontrol edin."
,Unesena e-ail adresa nije pronađena u bazi.,Girilen e-posta adresi veritabanında bulunamadı.
,Ažuriranje!,Güncelleme!
,Spasi!,Kurtarın!
