,Administrator,адміністратар
,Menadžer administratora satnica,Расклад адміністратар Менеджэр
,Nadređeni,вышэйстаячы
,Zaposlenik,супрацоўнік
,Odaberi...,Выбраць ...
,Nema dostupnih jezika.,Няма даступных моў.
,Dodaj službeno putovanje,Дадаць дзелавую паездку
,Nema unesenih država.,Там няма дзяржавы.
,Nema unesenih statusa.,Там няма статусу.
,Januar,Студзень
,Februar,лютага
,Mart,марш
,April,красавік
,Maj,можа
,Juni,Чэрвень
,Juli,ліпеня
,Avgust,Аўгусту
,Septembar,Верасень
,Oktobar,кастрычнік
,Novembar,лістапада
,Decembar,снежні
,Moj profil,мой профіль
,Moji Zadaci/Ciljevi,Мае Задачы / Мэты
,Moji Zahtjevi,мае патрабаванні
,Uredi profil,рэдагаваць профіль
,Zadaci/Ciljevi,Задачы / Мэты
,Zahtjevi,патрабаванні
,Korisnici,карыстальнікам
,Podešavanja,налады
,Države,стан
,Informacije su uspješno sapšene!,Інфармацыя паспяхова SAPS!
,Izmjene su uspješno sapšene!,Змены паспяхова SAPS!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,"Імя карыстальніка прымаецца. Калі ласка, паспрабуйце з другога."
,Greška!,Памылка!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Няправільна korisičko імя і / або пароль, калі ласка, паспрабуйце яшчэ раз."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Ваш уліковы запіс дэактываваная. Для атрымання дадатковай інфармацыі звяжыцеся з намі.
,Uspješno!,Паспяховы!
,Uspješno ste se odjavili.,Вы паспяхова адпісаліся.
,Neuspješno!,Памылка!
,Vaš korisnički nalog je deaktiviran.,Ваш уліковы запіс дэактываваная.
,Korisničko ime,імя карыстальніка
,Lozinka,пароль
,Prijava!,Зарэгістравацца!
,Zaboravili ste lozinku?,Забыліся пароль?
,Vaša e-mail adresa,Ваш адрас электроннай пошты
,Poništi lozinku,Скід пароля
,Nazad na stranicu za prijavu,Вярнуцца на старонку ўваходу
,"Poštovani,","Паважаныя спадары,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Вы папрасілі, каб скінуць пароль, новы прыкладаецца."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Электронная пошта з інструкцыямі была адпраўлена, калі ласка, праверце паведамленні на пошце ў тым, што вы паказалі ў запыце, каб скінуць пароль."
,Unesena e-ail adresa nije pronađena u bazi.,Уведзены адрас электроннай Айыл не знойдзены ў базе даных.
,Ažuriranje!,Абнаўленне!
,Spasi!,Захаваць!
,Osnovni podaci,Асноўная інфармацыя
,Osnovni Podaci,Асноўная інфармацыя
,Ime,імя
,Prezime,прозвішча
,Fotografija,фотаздымак
,Odaberi,выбраць
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Дазволеныя фарматы JPG / GIF / PNG. Рэкамендаваны памеры 480x640 РХ (партрэт).
,Kontakt Podaci,кантактная інфармацыя
,Država,краіна
,Grad,горад
,PTT,PTT
,Adresa,адрас
,Telefon,тэлефон
,E-mail,электронная пошта
,Ostali Podaci,іншая інфармацыя
,Jezik aplikacije,мова прыкладання
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Няправільны ID сайта, калі ласка, звярніцеся да адміністратара."
,Prikaži,шоў
,Sakrij,хаваць
,Generiši,генераваць
,Moje satnice,мая пагадзінная стаўка
,Novi unos,Новая запіс
,Dali ste sigurni da želite brisati?,"Вы ўпэўненыя, што жадаеце выдаліць?"
,Još nije bilo unosa za:,Там не было лістынг:
,Ukupno,агульны
,Iskorišteno,выкарыстоўваецца
,Ostalo,іншае
,Spašeno,захаваны
,Odobreno,прадастаўляецца
,Odbijeno,адхілена
,Dan,дзень
,Broj sati,гадзін
,Status,статус
,Pregled,агляд
,ODOBRENO,ЗАЦВЕРДЖАНЫ
,ODBIJENO,REJECTED
,Obradio:,падрыхтавана:
,Komentar:,каментар:
,Period od-do:,Перыяд-макс:
,do,у
,Pregled/obrada zadatka,Прагляд задачы / апрацоўка
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","Задача да гэтага часу не прыняты вамі, і, такім чынам, не можа быць апрацаваны пунктамі задання."
,Prihvati zadatak,прыміце місію
,Zaduženi:,зарад:
,Izvršiti do:,Выканаць да:
,Kreirao:,створана:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.","Задача / мэта пазначана як завершаная, і таму вы не можаце змяніць статус задачы. Тут вы можаце прытрымлівацца і задача ацэнкі каментар на сайце."
,stavke su završene. sada možete Zadatak oznaćiti završenim.,пункты былі завершаны. зараз можа быць маркіравана задача завершана.
,Završi zadatak,канец задачы
,Komentari,каментары
,Ostavite komentar,пакінуць каментар
,Dodaj komentar!,Дадаць каментар!
,"Zadatak je završen i ocjenjen, a s tim su i komentari zatvoreni.","Задача была завершана і ацэненая, але гэтыя заўвагі былі зачыненыя."
,Ocjena:,адзнака:
,Pozicija,становішча
,Sektor,сектар
,Nadređeni korisnik,цудоўны карыстальнік
,Datum registracije,дата
,Datum reaktivacije,Дата рэактывацыі
,Satnice,капітан
,Dodaj godinu,Дадаць год
,Dodaj mjesec,Дадаць месяц
,Još niste počeli unositi satnice,Вы не пачалі ўводзіць пагадзінную
,Aktivni,актываваны
,Arhiva,архіў
,Zahtjev za G.O.,Запыт G.O.
,Od:,ад:
,Do:,каб:
,Na čekanju...,У чаканні ...
,Zahtjev kreiran:,Створаны запыт:
