,Administrator,مدیر
,Menadžer administratora satnica,مدیریت زمان مدیر
,Nadređeni,عالی
,Zaposlenik,کارمند
,Odaberi...,انتخاب کنید ...
,Nema dostupnih jezika.,زبان های موجود وجود ندارد.
,Dodaj službeno putovanje,یک سفر تجاری اضافه کنید
,Nema unesenih država.,هیچ کشور وارد نشده است.
,Nema unesenih statusa.,هیچ وضعیتی وارد نشده است.
,Januar,ژانویه
,Februar,فوریه
,Mart,مارس
,April,آوریل
,Maj,ماه مه
,Juni,ماه ژوئن
,Juli,جولای
,Avgust,آگوست
,Septembar,سپتامبر
,Oktobar,اکتبر
,Novembar,نوامبر
,Decembar,دسامبر
,Moj profil,نمایه من
,Moji Zadaci/Ciljevi,وظایف من / اهداف
,Moji Zahtjevi,درخواستهای من
,Uredi profil,ویرایش نمایه
,Zadaci/Ciljevi,وظایف / اهداف
,Zahtjevi,درخواستها
,Korisnici,کاربران
,Podešavanja,تنظیمات
,Države,کشورها
,Informacije su uspješno sapšene!,اطلاعات با موفقیت دستگیر شده اند!
,Izmjene su uspješno sapšene!,تغییرات با موفقیت دستگیر شدند!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,نام کاربری مشغول است لطفا دیگران را امتحان کنید
,Greška!,خطا!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.",لطفا نام کاربری و / یا نام کاربری اشتباه را وارد کنید، لطفا دوباره امتحان کنید.
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,حساب کاربری شما غیرفعال شده است برای اطلاعات بیشتر با ما تماس بگیرید
,Uspješno!,موفقیت آمیز!
,Uspješno ste se odjavili.,شما با موفقیت خارج شدید
,Neuspješno!,موفق نشدم
,Vaš korisnički nalog je deaktiviran.,حساب کاربری شما غیر فعال شده است
,Korisničko ime,نام کاربری
,Lozinka,رمز عبور
,Prijava!,ورود
,Zaboravili ste lozinku?,رمز عبور خود را فراموش کرده اید؟
,Vaša e-mail adresa,آدرس ایمیل شما
,Poništi lozinku,بازنشانی گذرواژه
,Nazad na stranicu za prijavu,بازگشت به صفحه ورود
,"Poštovani,",سلام
,"Zatražili ste reset lozinke, nova je u prilogu.",شما درخواست رمز عبور مجدد را درخواست کرده اید، جدید پیوست شده است.
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,پست الکترونیکی با دستورالعمل ارسال شده، لطفا پیام های ایمیل شما در درخواست بازنشستگی رمز عبور را بررسی کنید.
,Unesena e-ail adresa nije pronađena u bazi.,آدرس ایمیل وارد شده در پایگاه داده یافت نشد.
,Ažuriranje!,به روز رسانی!
,Spasi!,ذخیره آن!
,Osnovni podaci,اطلاعات پایه
,Osnovni Podaci,داده های پایه
,Ime,نام
,Prezime,نام خانوادگی
,Fotografija,عکس
,Odaberi,انتخاب کنید
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,قالب های JPG / PNG / GIF مجاز. ابعاد توصیه شده 480x640 پیکسل (پرتره).
,Kontakt Podaci,اطلاعات تماس
,Država,کشور
,Grad,شهر
,PTT,PTT
,Adresa,آدرس
,Telefon,تلفن
,E-mail,پست الکترونیکی
,Ostali Podaci,سایر اطلاعات
,Jezik aplikacije,زبان برنامه
,"Pogrešan ID stranice, molimo kontaktirajte administratora.",شناسه صفحه اشتباه، لطفا با مدیر تماس بگیرید
,Prikaži,نمایش
,Sakrij,پنهان کردن
,Generiši,تولید کنید
,Moje satnice,برنامه من
,Novi unos,ورودی جدید
,Dali ste sigurni da želite brisati?,آیا مطمئن هستید که میخواهید حذف شود؟
,Još nije bilo unosa za:,هنوز ورودی وجود ندارد:
