,Administrator,ผู้บริหาร
,Menadžer administratora satnica,ผู้จัดการดูแลระบบเวลา
,Nadređeni,บังคับบัญชา
,Zaposlenik,ลูกจ้าง
,Odaberi...,เลือก ...
,Nema dostupnih jezika.,ไม่มีภาษาที่ใช้ได้
,Dodaj službeno putovanje,เพิ่มการเดินทางเพื่อธุรกิจ
,Nema unesenih država.,ไม่มีประเทศเข้ามา
,Nema unesenih statusa.,ไม่มีการป้อนสถานะ
,Januar,มกราคม
,Februar,กุมภาพันธ์
,Mart,มีนาคม
,April,เมษายน
,Maj,พฤษภาคม
,Juni,มิถุนายน
,Juli,กรกฎาคม
,Avgust,สิงหาคม
,Septembar,กันยายน
,Oktobar,ตุลาคม
,Novembar,พฤศจิกายน
,Decembar,ธันวาคม
,Moj profil,โปรไฟล์ของฉัน
,Moji Zadaci/Ciljevi,งาน / เป้าหมายของฉัน
,Moji Zahtjevi,คำขอของฉัน
,Uredi profil,แก้ไขโปรไฟล์
,Zadaci/Ciljevi,งาน / เป้าหมาย
,Zahtjevi,ความต้องการ
,Korisnici,ผู้ใช้
,Podešavanja,การตั้งค่า
,Države,รัฐ
,Informacije su uspješno sapšene!,ข้อมูลได้รับการบันทึกสำเร็จ!
,Izmjene su uspješno sapšene!,การเปลี่ยนแปลงได้สำเร็จแล้ว!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,ชื่อผู้ใช้ไม่ว่าง โปรดลองคนอื่น
,Greška!,ข้อผิดพลาด!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.",โปรดป้อนชื่อผู้ใช้และ / หรือรหัสผ่านไม่ถูกต้องโปรดลองอีกครั้ง
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,บัญชีของคุณถูกปิดใช้งานแล้ว สำหรับข้อมูลเพิ่มเติมกรุณาติดต่อเรา
,Uspješno!,ประสบความสำเร็จ!
,Uspješno ste se odjavili.,คุณลงชื่อออกเรียบร้อยแล้ว
,Neuspješno!,ล้มเหลว!
,Vaš korisnički nalog je deaktiviran.,บัญชีของคุณถูกปิดการใช้งาน
,Korisničko ime,ชื่อผู้ใช้
,Lozinka,รหัสผ่าน
,Prijava!,เข้าสู่ระบบขึ้น!
,Zaboravili ste lozinku?,ลืมรหัสผ่าน?
,Vaša e-mail adresa,ที่อยู่อีเมลของคุณ
,Poništi lozinku,รีเซ็ตรหัสผ่าน
