,Administrator,Quản trị viên
,Menadžer administratora satnica,Quản trị viên quản lý thời gian
,Nadređeni,Cao cấp
,Zaposlenik,Nhân viên
,Odaberi...,Chọn ...
,Nema dostupnih jezika.,Không có ngôn ngữ nào.
,Dodaj službeno putovanje,Thêm chuyến đi công tác
,Nema unesenih država.,Không có quốc gia nào bước vào.
,Nema unesenih statusa.,Không có trạng thái nào được nhập.
,Januar,Tháng Giêng
,Februar,Tháng hai
,Mart,Tháng ba
,April,Tháng 4
,Maj,Tháng năm
,Juni,Tháng sáu
,Juli,Tháng bảy
,Avgust,Tháng tám
,Septembar,Tháng chín
,Oktobar,Tháng 10
,Novembar,Tháng mười một
,Decembar,Tháng mười hai
,Moj profil,Hồ sơ của tôi
,Moji Zadaci/Ciljevi,Nhiệm vụ / Mục tiêu của tôi
,Moji Zahtjevi,Yêu cầu của tôi
,Uredi profil,Chỉnh sửa tiểu sử
,Zadaci/Ciljevi,Nhiệm vụ / Mục tiêu
,Zahtjevi,Yêu cầu
,Korisnici,Người sử dụng
,Podešavanja,Cài đặt
,Države,Quốc gia
,Informacije su uspješno sapšene!,Thông tin đã được chụp thành công!
,Izmjene su uspješno sapšene!,Những thay đổi đã được nắm bắt thành công!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Tên đăng nhập đang bận. Hãy thử một người khác.
,Greška!,Lỗi!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Vui lòng nhập sai tên người dùng và / hoặc mật khẩu, hãy thử lại."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,"Tài khoản của bạn đã bị hủy kích hoạt. Để biết thêm thông tin, hãy liên hệ với chúng tôi."
,Uspješno!,Thành công!
,Uspješno ste se odjavili.,Bạn đã đăng xuất thành công.
,Neuspješno!,Không thành công!
,Vaš korisnički nalog je deaktiviran.,Tài khoản của bạn đã bị hủy kích hoạt.
,Korisničko ime,Tên đăng nhập
,Lozinka,Mật mã
,Prijava!,Đăng nhập!
,Zaboravili ste lozinku?,Quên mật khẩu?
,Vaša e-mail adresa,Địa chỉ e-mail của bạn
,Poništi lozinku,Đặt lại mật khẩu
,Nazad na stranicu za prijavu,Quay lại trang đăng nhập
,"Poštovani,","Xin chào,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Bạn đã yêu cầu đặt lại mật khẩu, mới được đính kèm."
