,Administrator,администратор
,Menadžer administratora satnica,Мениджър на администраторите по време
,Nadređeni,А най-високо
,Zaposlenik,служител
,Odaberi...,Изберете ...
,Nema dostupnih jezika.,Няма налични езици.
,Dodaj službeno putovanje,Добави бизнес пътуване
,Nema unesenih država.,Няма въведени държави.
,Nema unesenih statusa.,Няма въведено състояние.
,Januar,януари
,Februar,февруари
,Mart,март
,April,април
,Maj,май
,Juni,юни
,Juli,юли
,Avgust,август
,Septembar,септември
,Oktobar,октомври
,Novembar,ноември
,Decembar,декември
,Moj profil,Моят профил
,Moji Zadaci/Ciljevi,Моите задачи / цели
,Moji Zahtjevi,Моите искания
,Uredi profil,Редактиране на профила
,Zadaci/Ciljevi,Задачи / цели
,Zahtjevi,изисквания
,Korisnici,на потребителите
,Podešavanja,Настройки
,Države,състояние
,Informacije su uspješno sapšene!,Информацията е успешно заснета!
,Izmjene su uspješno sapšene!,Промените бяха успешно иззети!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,"Потребителското име е заето. Моля, опитайте някой друг."
,Greška!,Грешка!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Моля, въведете грешно потребителско име и / или парола. Моля, опитайте отново."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Профилът Ви бе деактивиран. За повече информация се свържете с нас.
,Uspješno!,Успешно!
,Uspješno ste se odjavili.,Вие успешно сте излезли.
,Neuspješno!,Неуспех!
,Vaš korisnički nalog je deaktiviran.,Профилът ви е деактивиран.
,Korisničko ime,потребителско име
,Lozinka,парола
,Prijava!,Регистрирайте се!
,Zaboravili ste lozinku?,Забравена парола?
,Vaša e-mail adresa,Вашият имейл адрес
,Poništi lozinku,Нулиране на паролата
,Nazad na stranicu za prijavu,Назад към страницата за вход
,"Poštovani,","Уважаеми господа,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Поискали сте нова парола, нова е приложена."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Изпращане на електронна поща с изпратените инструкции, моля, проверете съобщенията в имейла, който сте предоставили в заявката за повторно задаване на паролата."
,Unesena e-ail adresa nije pronađena u bazi.,Въведеният имейл адрес не бе намерен в базата данни.
,Ažuriranje!,Актуализиране!
,Spasi!,Запазете го!
,Osnovni podaci,Основна информация
,Osnovni Podaci,Основни данни
,Ime,име
,Prezime,фамилно име
,Fotografija,фотография
,Odaberi,Изберете
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Позволени формати JPG / PNG / GIF. Препоръчителни размери 480x640 px (портрет).
,Kontakt Podaci,Данни за връзка
,Država,страна
,Grad,град
,PTT,PTT
,Adresa,адрес
,Telefon,телефон
,E-mail,Е-мейл
,Ostali Podaci,Други данни
,Jezik aplikacije,Език на приложението
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Неправилен идентификационен номер на страницата, моля, свържете се с администратора."
,Prikaži,шоу
,Sakrij,крия
,Generiši,Генериране
,Moje satnice,Моят график
,Novi unos,Нов запис
,Dali ste sigurni da želite brisati?,Наистина ли искате да изтриете?
,Još nije bilo unosa za:,Все още не е имало запис за:
,Ukupno,общо
,Iskorišteno,използва
,Ostalo,друг
,Spašeno,спасени
,Odobreno,дадено
,Odbijeno,Отхвърлени
,Dan,ден
,Broj sati,Брой часове
,Status,статус
,Pregled,преглед
,ODOBRENO,ОДОБРЕНИ
,ODBIJENO,ОТХВЪРЛЕН
,Obradio:,Обработено от:
,Komentar:,коментар:
,Period od-do:,Период от-до:
,do,за
,Pregled/obrada zadatka,Преглед / обработка на задачи
