,Administrator,Pentadbir
,Menadžer administratora satnica,Pengurus pentadbir masa
,Nadređeni,Superior
,Zaposlenik,Pekerja
,Odaberi...,Pilih ...
,Nema dostupnih jezika.,Tiada bahasa yang tersedia.
,Dodaj službeno putovanje,Tambah perjalanan perniagaan
,Nema unesenih država.,Tiada negara yang masuk.
,Nema unesenih statusa.,Tiada status yang dimasukkan.
,Januar,Januari
,Februar,Februari
,Mart,Mac
,April,April
,Maj,Mei
,Juni,Jun
,Juli,Julai
,Avgust,Ogos
,Septembar,September
,Oktobar,Oktober
,Novembar,November
,Decembar,Disember
,Moj profil,Profil saya
,Moji Zadaci/Ciljevi,Tugas / Matlamat Saya
,Moji Zahtjevi,Permintaan saya
,Uredi profil,Edit profil
,Zadaci/Ciljevi,Tugas / Matlamat
,Zahtjevi,Permintaan
,Korisnici,Pengguna
,Podešavanja,Tetapan
,Države,Negara
,Informacije su uspješno sapšene!,Maklumat telah berjaya ditangkap!
,Izmjene su uspješno sapšene!,Perubahan berjaya disita!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Nama pengguna sibuk. Sila cuba orang lain.
,Greška!,Ralat!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Sila masukkan nama pengguna dan / atau kata laluan yang salah, sila cuba lagi."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Akaun anda telah dinyahaktifkan. Untuk maklumat lanjut hubungi kami.
,Uspješno!,Berjaya!
,Uspješno ste se odjavili.,Anda telah berjaya melog keluar.
,Neuspješno!,Tidak berjaya!
,Vaš korisnički nalog je deaktiviran.,Akaun anda dinyahaktifkan.
,Korisničko ime,Nama pengguna
,Lozinka,Kata laluan
,Prijava!,Masuk!
,Zaboravili ste lozinku?,Lupa kata laluan anda?
,Vaša e-mail adresa,Alamat e-mel anda
,Poništi lozinku,Tetapkan semula kata laluan
,Nazad na stranicu za prijavu,Kembali ke halaman Log masuk
,"Poštovani,","Halo,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Anda telah meminta kata laluan reset, baru dilampirkan."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mel dengan arahan yang dihantar, sila periksa mesej pada e-mel yang anda berikan dalam permintaan penetapan kata laluan."
,Unesena e-ail adresa nije pronađena u bazi.,Alamat e-mel yang dimasukkan tidak terdapat dalam pangkalan data.
,Ažuriranje!,Mengemaskini!
,Spasi!,Simpan!
,Osnovni podaci,Maklumat asas
,Osnovni Podaci,Data Asas
,Ime,Nama
,Prezime,Nama keluarga
,Fotografija,Foto
,Odaberi,Pilih
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Format JPG / PNG / GIF yang dibenarkan. Dimensi yang disyorkan 480x640 px (potret).
,Kontakt Podaci,Hubungi Data
