,Administrator,Администратор
,Menadžer administratora satnica,Временски администраторски менаџер
,Nadređeni,Супериорен
,Zaposlenik,Вработен
,Odaberi...,Избери ...
,Nema dostupnih jezika.,Нема достапни јазици.
,Dodaj službeno putovanje,Додај службено патување
,Nema unesenih država.,Ниту една земја не влезе.
,Nema unesenih statusa.,Не е внесен статус.
,Januar,Јануари
,Februar,Февруари
,Mart,Март
,April,Април
,Maj,Мај
,Juni,Јуни
,Juli,Јули
,Avgust,Август
,Septembar,Септември
,Oktobar,Октомври
,Novembar,Ноември
,Decembar,Декември
,Moj profil,Мојот профил
,Moji Zadaci/Ciljevi,Мои задачи / цели
,Moji Zahtjevi,Моите барања
,Uredi profil,Уредете го профилот
,Zadaci/Ciljevi,Задачи / Цели
,Zahtjevi,Барања
,Korisnici,Корисници
,Podešavanja,Поставки
,Države,Земји
,Informacije su uspješno sapšene!,Информациите успешно се заробени!
,Izmjene su uspješno sapšene!,Промените беа успешно запленети!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Корисничкото име е зафатено. Те молам пробајте некој друг.
,Greška!,Грешка!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Внесете погрешно корисничко име и / или лозинка, обидете се повторно."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Вашата сметка е деактивирана. За повеќе информации контактирајте не.
,Uspješno!,Успешно!
,Uspješno ste se odjavili.,Успешно се одјавивте.
,Neuspješno!,Неуспешно!
,Vaš korisnički nalog je deaktiviran.,Вашата сметка е деактивирана.
,Korisničko ime,Корисничко име
,Lozinka,Лозинка
,Prijava!,Пријавете се!
,Zaboravili ste lozinku?,Заборавена лозинка?
,Vaša e-mail adresa,Вашата e-mail адреса
,Poništi lozinku,Ресетирај лозинка
,Nazad na stranicu za prijavu,Назад кон страната за пријавување
,"Poštovani,","Здраво,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Побаравте лозинка за ресетирање, новиот е приложен."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Е-пошта со инструкции испратени, ве молиме проверете ги пораките на е-поштата што ја дадовте во барањето за ресетирање на лозинката."
,Unesena e-ail adresa nije pronađena u bazi.,Внесената е-поштенска адреса не е пронајдена во базата на податоци.
,Ažuriranje!,Ажурирање!
,Spasi!,Зачувај го!
,Osnovni podaci,Основни информации
,Osnovni Podaci,Основни податоци
