,Administrator,"Διαχειριστής
Διαχειριστής διαχειριστή χρόνου
Superior
Υπάλληλος
Επιλέξτε ...
Δεν υπάρχουν διαθέσιμες γλώσσες.
Προσθέστε επαγγελματικό ταξίδι
Δεν εισήλθαν χώρες.
Δεν έχει εισαχθεί κατάσταση.
Ιανουάριος
Φεβρουάριος
Μάρτιος
Απρίλιος
Μάιο
Ιούνιος
Ιούλιο
Αύγουστος
Σεπτέμβριος
Οκτώβριο
Νοέμβριος
Δεκέμβριος
Το προφίλ μου
Οι εργασίες / οι στόχοι μου
Τα αιτήματά μου
Επεξεργασία προφίλ
Εργασίες / Στόχοι
Αιτήματα
Χρήστες
Ρυθμίσεις
Χώρες
Οι πληροφορίες έχουν καταγραφεί με επιτυχία!
Οι αλλαγές ολοκληρώθηκαν με επιτυχία!
Το όνομα χρήστη είναι απασχολημένο. Δοκιμάστε κάποιον άλλο.
Σφάλμα!
Εισαγάγετε λάθος όνομα χρήστη και / ή κωδικό πρόσβασης, δοκιμάστε ξανά.
Ο λογαριασμός σας έχει απενεργοποιηθεί. Για περισσότερες πληροφορίες επικοινωνήστε μαζί μας.
Με επιτυχία!
Έχετε αποσυνδεθεί με επιτυχία.
Μη επιτυχής!
Ο λογαριασμός σας απενεργοποιείται.
Όνομα χρήστη
Κωδικός πρόσβασης
Είσοδος!
Ξεχάσατε τον κωδικό σας;
Η διεύθυνση ηλεκτρονικού ταχυδρομείου σας
Επαναφορά κωδικού πρόσβασης
Επιστροφή στη σελίδα σύνδεσης
Γεια σας,
Ζητήσατε επαναφορά κωδικού πρόσβασης, επισυνάπτεται νέο.
E-mail με οδηγίες που έχουν αποσταλεί, ελέγξτε τα μηνύματα στο μήνυμα ηλεκτρονικού ταχυδρομείου που δώσατε στο αίτημα επαναφοράς κωδικού πρόσβασης.
Η καταχωρημένη διεύθυνση ηλεκτρονικού ταχυδρομείου δεν βρέθηκε στη βάση δεδομένων.
Ενημέρωση!
Αποθηκεύστε το!
Βασικές πληροφορίες
Βασικά δεδομένα
Όνομα
Επώνυμο
Φωτογραφία
Επιλέξτε
Επιτρεπόμενες μορφές JPG / PNG / GIF. Προτεινόμενες διαστάσεις 480x640 px (πορτρέτο).
Στοιχεία επικοινωνίας
Χώρα
Πόλη
PTT
Διεύθυνση
Τηλέφωνο
Ηλεκτρονικό ταχυδρομείο
Άλλα δεδομένα
Γλώσσα εφαρμογής
Λάθος αναγνωριστικό σελίδας, επικοινωνήστε με τον διαχειριστή.
Εμφάνιση
Απόκρυψη
Δημιουργήστε
Το μου χρονοδιάγραμμα
Νέα καταχώρηση
Είστε βέβαιοι ότι θέλετε να διαγράψετε;
Δεν υπήρχε ακόμα μια εγγραφή για:
Σύνολο
Χρησιμοποιείται
Άλλο
Διασωθείσα
Εγκρίθηκε
Απορρίφθηκε
Dan
Αριθμός ωρών
Κατάσταση
Επισκόπηση
ΕΓΚΡΙΘΕΝΤΑΙ
ODBIJENO
Επεξεργασμένο από:
Σχόλιο:
Περίοδος από-έως:
να
Επισκόπηση / επεξεργασία εργασιών
Η εργασία δεν έχει γίνει αποδεκτή από εσάς και συνεπώς δεν είναι δυνατή η επεξεργασία των στοιχείων της εργασίας.
Αποδεχτείτε την εργασία
Υπεύθυνος:
Εκτέλεση σε:
Δημιουργήθηκε από:
Η εργασία / στόχος έχει επισημανθεί ως ολοκληρωμένη και συνεπώς δεν μπορείτε να αλλάξετε την κατάσταση της εργασίας. Μπορείτε να ακολουθήσετε εδώ και να αξιολογήσετε εδώ.
Τα στοιχεία ολοκληρώθηκαν. μπορείτε τώρα να επισημάνετε την εργασία που ολοκληρώθηκε.
Ολοκληρώστε την εργασία
Σχόλια
Αφήστε ένα σχόλιο
Προσθέστε ένα σχόλιο!
Ο στόχος ολοκληρώθηκε και αξιολογήθηκε και με αυτόν τον τρόπο ολοκληρώθηκαν τα σχόλια.
Βαθμολογία:
Θέση
Τομέα
Άριστος χρήστης
Ημερομηνία εγγραφής
Ημερομηνία επανενεργοποίησης
Πρόγραμμα
Προσθήκη έτους
Προσθέστε μήνα
Δεν έχετε αρχίσει ακόμη να εισάγετε το πρόγραμμα
Ενεργός
Αρχείο
Αίτημα για G.O.
Από:
Για:
Αναμονή ...
Αίτηση δημιουργήθηκε:
Αίτηση έγκρισης:
Η αίτηση απορρίφθηκε:
Είστε βέβαιοι ότι θέλετε να ακυρώσετε την αίτηση;
Είστε βέβαιοι ότι θέλετε να αρχειοθετήσετε το αίτημα;
Δεν υπάρχουν αποθηκευμένα αιτήματα για τις επιλεγμένες παραμέτρους.
Αναμονή
Αποδεκτό
Ολοκληρώθηκε
Είστε βέβαιοι ότι θέλετε να αρχειοθετήσετε την εργασία;
Δεν υπάρχουν αποθηκευμένες εργασίες για τις επιλεγμένες παραμέτρους.
Μη εξουσιοδοτημένη πρόσβαση
Δεν έχετε την εξουσιοδότηση για πρόσβαση σε αυτό το τμήμα της εφαρμογής. Εάν παρουσιαστεί σφάλμα, επικοινωνήστε με τον διαχειριστή.
Πίσω στο προφίλ μου
Αιτήματα για G.O.
Επεξεργασία της αίτησης!
Κατάσταση αιτήματος:
Σχόλιο
Πόλεις
Κατάλογος των καταχωρημένων πόλεων, οι οποίες απαιτούνται για τη δημιουργία προορισμών και κρατήσεων.
Όνομα
Είστε βέβαιοι ότι θέλετε να διαγράψετε:
Δεν υπήρχε ακόμα εισιτήριο
Γενικά
Τίτλος εφαρμογής
Επιτρεπόμενες μορφές JPG / PNG / GIF. Προτεινόμενες διαστάσεις 400x200 px.
Χρώματα εφαρμογών
Ιστορικό της αίτησης
Χρώμα κειμένου εφαρμογής
Γραμμή φόντου - HEADER
Χρώμα κειμένου της άνω ταινίας - HEADER
Χρώμα κειμένου της κορυφαίας κορδέλας - HEADER (: αιωρείται: ενεργή)
Χρώμα τίτλου (H1, H2, H3, H4, H5, H6)
Ιστορικό - ΚΟΥΜΠΙΑ
Κείμενο και εικονίδιο - ΚΟΥΜΠΙΑ
Παραμέτρους SMTP
Κατάσταση SMTP
Εάν το SMTP είναι ανενεργό ή οι παράμετροι δεν είναι διαθέσιμες, το σύστημα θα χρησιμοποιήσει τη συνήθη λειτουργία PHP MAIL ().
SMTP host
Χρήστης SMTP
Κωδικός πρόσβασης SMTP
Θύρα SMTP
Ασφάλεια SMTP
Γλώσσες εφαρμογής
Κωδικός
Ωριαία κατάσταση
Κατεύθυνση του κειμένου
Είστε βέβαιοι ότι θέλετε να ακυρώσετε την εργασία;
Το καθήκον δεν έχει ακόμη γίνει αποδεκτό από το χρεωμένο korinki7.
Βαθμολογήστε!
στην επεξεργασία ...
Η εργασία έχει επισημανθεί ως ολοκληρωμένη. , και μπορείτε τώρα να αφήσετε τον βαθμό και να τον χαρακτηρίσετε ως πλήρη εργασία. Αν θέλετε να αφήσετε ένα σχόλιο, προσθέστε το πριν από την αξιολόγηση.
Πλήρης!
Εργασία / Στόχος για τη Γωνία:
Εργασία / στόχος:
Τίτλος του στόχου / στόχος
Προσθέστε ένα πεδίο
Ενεργοποίηση χρονικού ορίου χρονικού ορίου / στόχου
Αναζήτηση ...
Όλοι
Αποτελέσματα αναζήτησης για:
Απενεργοποιημένοι χρήστες
ID
Corinne
Επίπεδο χορήγησης
Πληροφορίες
απενεργοποιημένο:
εγγραφή:
Είστε βέβαιοι ότι θέλετε να απενεργοποιήσετε το χρήστη:
Είστε βέβαιοι ότι θέλετε να ενεργοποιήσετε εκ νέου τον χρήστη:
Επεξεργασία του προγράμματος!
Δεν υπήρχαν ακόμα καταχωρήσεις
Γεια σας!
Αποσυνδεθείτε!
Έτος
Σελήνη
Στόχοι ΜΒΟ
Απαιτήσεις για εκπαίδευση
Αιτήματα για επαγγελματικά ταξίδια
Εργαζόμενοι
Χρόνοι διόρθωσης
Διαχείριση χρόνου
Διαχείριση διορθώσεων ωριαίας ώρας
Ετήσια / απουσία
Προγράμματα κατάρτισης
Γραμμάτια / υπολογιστικά φύλλα
Οργανόγραμμα
Το MBO μου
Τα επαγγελματικά μου ταξίδια
Οι ασκήσεις μου
Επεξεργασία προφίλ
Το μου χρονοδιάγραμμα
Επαλήθευση χρονοδιαγραμμάτων
Διορθώσεις επαλήθευσης
Λογαριασμοί
Σπρέι
Προσέγγιση
Διορθώσεις
Βοσνία και Ερζεγοβίνη
Σαράγεβο
Οι διακοπές του προηγούμενου έτους
Ετήσιες διακοπές του τρέχοντος έτους
Αμειβόμενες θρησκευτικές αργίες
Αμειβόμενες θρησκευτικές αργίες
Αμειβόμενη άδεια
Θάνατος
Αιμοδοσία
Τακτική εργασία
Ετήσιες διακοπές του τρέχοντος έτους
Δευτέρα
Τρίτη
Τετάρτη
Πέμπτη
Παρασκευή
Σάββατο
Κυριακή
Προσθέστε εκπαίδευση
Αιτήσεις για επίσημα ταξίδια
Αναζήτηση υπαλλήλων"
,Menadžer administratora satnica,Διαχειριστής διαχειριστή χρόνου
,Nadređeni,Superior
,Zaposlenik,Υπάλληλος
,Odaberi...,Επιλέξτε ...
,Nema dostupnih jezika.,Δεν υπάρχουν διαθέσιμες γλώσσες.
,Dodaj službeno putovanje,Προσθέστε επαγγελματικό ταξίδι
,Nema unesenih država.,Δεν εισήλθαν χώρες.
,Nema unesenih statusa.,Δεν έχει εισαχθεί κατάσταση.
,Januar,Ιανουάριος
,Februar,Φεβρουάριος
,Mart,Μάρτιος
,April,Απρίλιος
,Maj,Μάιο
,Juni,Ιούνιος
,Juli,Ιούλιο
,Avgust,Αύγουστος
,Septembar,Σεπτέμβριος
,Oktobar,Οκτώβριο
,Novembar,Νοέμβριος
,Decembar,Δεκέμβριος
,Moj profil,Το προφίλ μου
,Moji Zadaci/Ciljevi,Οι εργασίες / οι στόχοι μου
,Moji Zahtjevi,Τα αιτήματά μου
,Uredi profil,Επεξεργασία προφίλ
,Zadaci/Ciljevi,Εργασίες / Στόχοι
,Zahtjevi,Αιτήματα
,Korisnici,Χρήστες
,Podešavanja,Ρυθμίσεις
,Države,Χώρες
,Informacije su uspješno sapšene!,Οι πληροφορίες έχουν καταγραφεί με επιτυχία!
,Izmjene su uspješno sapšene!,Οι αλλαγές ολοκληρώθηκαν με επιτυχία!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Το όνομα χρήστη είναι απασχολημένο. Δοκιμάστε κάποιον άλλο.
,Greška!,Σφάλμα!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Εισαγάγετε λάθος όνομα χρήστη και / ή κωδικό πρόσβασης, δοκιμάστε ξανά."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Ο λογαριασμός σας έχει απενεργοποιηθεί. Για περισσότερες πληροφορίες επικοινωνήστε μαζί μας.
,Uspješno!,Με επιτυχία!
,Uspješno ste se odjavili.,Έχετε αποσυνδεθεί με επιτυχία.
,Neuspješno!,Μη επιτυχής!
,Vaš korisnički nalog je deaktiviran.,Ο λογαριασμός σας απενεργοποιείται.
,Korisničko ime,Όνομα χρήστη
,Lozinka,Κωδικός πρόσβασης
,Prijava!,Είσοδος!
,Zaboravili ste lozinku?,Ξεχάσατε τον κωδικό σας;
,Vaša e-mail adresa,Η διεύθυνση ηλεκτρονικού ταχυδρομείου σας
,Poništi lozinku,Επαναφορά κωδικού πρόσβασης
,Nazad na stranicu za prijavu,Επιστροφή στη σελίδα σύνδεσης
,"Poštovani,","Γεια σας,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Ζητήσατε επαναφορά κωδικού πρόσβασης, επισυνάπτεται νέο."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-mail με οδηγίες που έχουν αποσταλεί, ελέγξτε τα μηνύματα στο μήνυμα ηλεκτρονικού ταχυδρομείου που δώσατε στο αίτημα επαναφοράς κωδικού πρόσβασης."
,Unesena e-ail adresa nije pronađena u bazi.,Η καταχωρημένη διεύθυνση ηλεκτρονικού ταχυδρομείου δεν βρέθηκε στη βάση δεδομένων.
,Ažuriranje!,Ενημέρωση!
,Spasi!,Αποθηκεύστε το!
,Osnovni podaci,Βασικές πληροφορίες
,Osnovni Podaci,Βασικά δεδομένα
,Ime,Όνομα
,Prezime,Επώνυμο
,Fotografija,Φωτογραφία
,Odaberi,Επιλέξτε
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Επιτρεπόμενες μορφές JPG / PNG / GIF. Προτεινόμενες διαστάσεις 480x640 px (πορτρέτο).
,Kontakt Podaci,Στοιχεία επικοινωνίας
,Država,Χώρα
,Grad,Πόλη
,PTT,PTT
,Adresa,Διεύθυνση
,Telefon,Τηλέφωνο
,E-mail,Ηλεκτρονικό ταχυδρομείο
,Ostali Podaci,Άλλα δεδομένα
,Jezik aplikacije,Γλώσσα εφαρμογής
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Λάθος αναγνωριστικό σελίδας, επικοινωνήστε με τον διαχειριστή."
,Prikaži,Εμφάνιση
,Sakrij,Απόκρυψη
,Generiši,Δημιουργήστε
,Moje satnice,Το μου χρονοδιάγραμμα
,Novi unos,Νέα καταχώρηση
,Dali ste sigurni da želite brisati?,Είστε βέβαιοι ότι θέλετε να διαγράψετε;
,Još nije bilo unosa za:,Δεν υπήρχε ακόμα μια εγγραφή για:
,Ukupno,Σύνολο
,Iskorišteno,Χρησιμοποιείται
,Ostalo,Άλλο
,Spašeno,Διασωθείσα
,Odobreno,Εγκρίθηκε
,Odbijeno,Απορρίφθηκε
,Dan,Dan
,Broj sati,Αριθμός ωρών
,Status,Κατάσταση
,Pregled,Επισκόπηση
,ODOBRENO,ΕΓΚΡΙΘΕΝΤΑΙ
,ODBIJENO,ODBIJENO
,Obradio:,Επεξεργασμένο από:
,Komentar:,Σχόλιο:
,Period od-do:,Περίοδος από-έως:
,do,να
,Pregled/obrada zadatka,Επισκόπηση / επεξεργασία εργασιών
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.",Η εργασία δεν έχει γίνει αποδεκτή από εσάς και συνεπώς δεν είναι δυνατή η επεξεργασία των στοιχείων της εργασίας.
,Prihvati zadatak,Αποδεχτείτε την εργασία
,Zaduženi:,Υπεύθυνος:
,Izvršiti do:,Εκτέλεση σε:
,Kreirao:,Δημιουργήθηκε από:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.",Η εργασία / στόχος έχει επισημανθεί ως ολοκληρωμένη και συνεπώς δεν μπορείτε να αλλάξετε την κατάσταση της εργασίας. Μπορείτε να ακολουθήσετε εδώ και να αξιολογήσετε εδώ.
,stavke su završene. sada možete Zadatak oznaćiti završenim.,Τα στοιχεία ολοκληρώθηκαν. μπορείτε τώρα να επισημάνετε την εργασία που ολοκληρώθηκε.
,Završi zadatak,Ολοκληρώστε την εργασία
,Komentari,Σχόλια
,Ostavite komentar,Αφήστε ένα σχόλιο
