,Administrator,Администратор
,Menadžer administratora satnica,Цагийн администратор менежер
,Nadređeni,Дээд
,Zaposlenik,Ажилтан
,Odaberi...,Сонгох ...
,Nema dostupnih jezika.,Тэнд хэл байхгүй байна.
,Dodaj službeno putovanje,Бизнест аялал хийнэ үү
,Nema unesenih država.,Ямар ч улс ороогүй.
,Nema unesenih statusa.,Статус ороогүй байна.
,Januar,1 дүгээр сар
,Februar,Хоёрдугаар сар
,Mart,Гуравдугаар сар
,April,Дөрөвдүгээр сар
,Maj,Тавдугаар сар
,Juni,Зургадугаар сар
,Juli,Долдугаар сар
,Avgust,Наймдугаар сар
,Septembar,Есдүгээр сар
,Oktobar,Аравдугаар сар
,Novembar,Арваннэгдүгээр сар
,Decembar,12-р сар
,Moj profil,Миний профайл
,Moji Zadaci/Ciljevi,Миний үүрэг / зорилго
,Moji Zahtjevi,Миний хүсэлт
,Uredi profil,Профайл засах
,Zadaci/Ciljevi,Тамга / Зорилго
,Zahtjevi,Хүсэлт
,Korisnici,Хэрэглэгчид
,Podešavanja,Тохиргоо
,Države,Улс орнууд
,Informacije su uspješno sapšene!,Мэдээлэл амжилттай болсон!
,Izmjene su uspješno sapšene!,Энэ өөрчлөлт амжилттай боллоо!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,Хэрэглэгчийн нэр нь завгүй байна. Өөр хүнийг оролдоно уу.
,Greška!,Алдаа!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Буруу хэрэглэгчийн нэр болон / эсвэл нууц үгээ оруулна уу, дахин оролдоно уу."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Таны акаунт идэвхгүй болсон. Дэлгэрэнгүй мэдээллийг бидэнтэй холбоо барина уу.
,Uspješno!,Амжилттай боллоо!
,Uspješno ste se odjavili.,Та амжилттай гарлаа.
,Neuspješno!,Амжилтгүй боллоо!
,Vaš korisnički nalog je deaktiviran.,Таны акаунт идэвхгүй болно.
,Korisničko ime,Хэрэглэгчийн нэр
,Lozinka,Нууц үг
,Prijava!,Нэвтрэх!
,Zaboravili ste lozinku?,Нууц үгээ мартсан уу?
,Vaša e-mail adresa,Таны и-мэйл хаяг
,Poništi lozinku,Нууц үг шинэчлэх
,Nazad na stranicu za prijavu,Нэвтрэх хуудас руу буцах
,"Poštovani,","Сайн уу,"
,"Zatražili ste reset lozinke, nova je u prilogu.","Та дахин тохируулах нууц үгээ дахин оруулахыг хүссэн, шинэ хавсаргасан."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Илгээсэн заавар бүхий и-мэйл, нууц үгээ шинэчлэх хүсэлтанд оруулсан имэйлийн мессежийг шалгана уу."
,Unesena e-ail adresa nije pronađena u bazi.,Оруулсан имэйл хаяг нь мэдээллийн санд байхгүй байна.
,Ažuriranje!,Шинэчилж байна!
,Spasi!,Save it!
,Osnovni podaci,Үндсэн мэдээлэл
,Osnovni Podaci,Үндсэн мэдээлэл
,Ime,Нэр
,Prezime,Овог
,Fotografija,Фото зураг
,Odaberi,Сонгох
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,JPG / PNG / GIF форматаар зөвшөөрөгдсөн. Зөвлөмж болгож буй хэмжээ 480x640 px (хөрөг).
,Kontakt Podaci,Холбоо барих мэдээлэл
,Država,Улс
,Grad,Хот
,PTT,PTT
,Adresa,Хаяг
,Telefon,Утас
,E-mail,И-мэйл
,Ostali Podaci,Бусад өгөгдөл
,Jezik aplikacije,Програмын хэл
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Буруу хуудасны ID, админтай холбоо барина уу."
,Prikaži,Шоу
,Sakrij,Нуух
,Generiši,Үүсгэх
,Moje satnice,Миний хуваарь
,Novi unos,Шинэ оруулга
,Dali ste sigurni da želite brisati?,Та үнэхээр устгахыг хүсч байна уу?
,Još nije bilo unosa za:,Оруулсан хараахан ороогүй байна:
,Ukupno,Нийт
,Iskorišteno,Ашигласан
,Ostalo,Бусад
,Spašeno,Аврагдсан
,Odobreno,Батлагдсан
,Odbijeno,Татгалзсан
,Dan,Дан
,Broj sati,Цагийн тоо
,Status,Статус
,Pregled,Ерөнхий тойм
,ODOBRENO,АРГА ХЭМЖЭЭ
,ODBIJENO,ODBIJENO
,Obradio:,Боловсруулсан:
,Komentar:,Тайлбар:
,Period od-do:,Хугацаа хүртэл:
,do,to
,Pregled/obrada zadatka,Тойм / зорилт боловсруулах
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.",Даалгавар таныг хүлээн аваагүй тул ажлын даалгаврыг боловсруулах боломжгүй юм.
,Prihvati zadatak,Даалгаварыг хүлээж ав
,Zaduženi:,Хариуцлагатай:
,Izvršiti do:,Үүнд:
,Kreirao:,Үүсгэсэн:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.",Даалгавар / Зорилго нь дууссан гэж тэмдэглэгдсэн тул та даалгаврын статусыг өөрчилж чадахгүй. Та эндээс cometers-ийг дагаж энд даалгавраа үнэлнэ үү.
,stavke su završene. sada možete Zadatak oznaćiti završenim.,Бүтээгдэхүүн дууссан. Та одоо дууссан даалгавраа тэмдэглэж болно.
,Završi zadatak,Даалгавраа дуусгах
,Komentari,Сэтгэгдэл
,Ostavite komentar,Сэтгэгдэл үлдээх
,Dodaj komentar!,Сэтгэгдэл нэмэх!
,"Zadatak je završen i ocjenjen, a s tim su i komentari zatvoreni.","Ажлын даалгаварыг бүрэн гүйцэд хийж, үнэлэн дүгнэлт хийж, тайлбарыг хаасан."
,Ocjena:,Үнэлгээ:
,Pozicija,Албан тушаал
,Sektor,Салбар
,Nadređeni korisnik,Дээд хэрэглэгч
,Datum registracije,Бүртгэсэн огноо
,Datum reaktivacije,Реактивжих хугацаа
,Satnice,Жагсаалт
,Dodaj godinu,Нэмэлт жил
,Dodaj mjesec,Сар нэмнэ үү
,Još niste počeli unositi satnice,Та хуваарийг оруулж амжаагүй байна
,Aktivni,Идэвхтэй байна
,Arhiva,Архив
,Zahtjev za G.O.,Г.
,Od:,Эндээс:
,Do:,Хэнд:
,Na čekanju...,Хүлээж байна ...
,Zahtjev kreiran:,Хүсэлт үүсгэсэн:
,Zahtjev odobren:,Баталсан хүсэлт:
,Zahtjev odbijen:,Хүсэлтээс татгалзсан:
,Dali ste sigurni da želite poništiti zahtjev?,Та хүсэлтийг цуцлахдаа итгэлтэй байна уу?
,Dali ste sigurni da želite arhivirati zahtjev?,Та хүсэлтийг архивлахыг хүсч байна уу?
,Nema spašenih zahtjeva prema odabranim parametrima.,Сонгосон параметрүүдийн хувьд хадгалсан хүсэлт байхгүй байна.
,Na čekanju,Хүлээж байна
,Prihvaćen,Хүлээн зөвшөөрсөн
,Završen,Дууссан
,Dali ste sigurni da želite arhivirati zadatak?,Та энэ архивыг архивлахыг хүсч байна уу?
,Nema spašenih zadataka prema odabranim parametrima.,Сонгосон параметрүүдийн хувьд хадгалсан даалгавар байхгүй байна.
,Neovlašten pristup,Зөвшөөрөлгүй хандалт
,"Nemate ovlasti za pristup ovom dijelu aplikacije. Ukoliko je doslo do greške, kontaktirajte administratora.",Та програмын энэ хэсэгт хандах эрх мэдэлгүй байна. Хэрэв алдаа гарсан бол администратортой холбогдоно уу.
,Nazad na moj profil,Миний профайл руу буцах
,Zahtjevi za G.O.,G.O.-ийн хүсэлт
