,Administrator,Administrator
,Od,From
,Do,To
,Adresa,Address
,Aktivni,Active
,April,April
,Arhiva,Archive
,Avgust,August
,Ažuriranje!,Updating!
,B-1 sa regijama,B-1 with regions
,"Boja naslova (H1,H2,H3,H4,H5,H6)","Title color (H1, H2, H3, H4, H5, H6)"
,Boja teksta aplikacije,Application text color
,Boja teksta gornje trake - HEADER,Text color of the upper tape - HEADER
,Boja teksta gornje trake - HEADER (:hover :active),Text color of the top ribbon - HEADER (: hover: active)
,Boje aplikacije,Application colors
,Boje aplikacije,Application colors
,Bosna i Hercegovina,Bosnia and Herzegovina
,Broj sati,Number of hours
,Dali ste sigurni da želite arhivirati zadatak?,Are you sure you want to archive the task?
,Dali ste sigurni da želite arhivirati zahtjev?,Are you sure you want to archive the request?
,Dali ste sigurni da želite brisati:,Are you sure you want to delete:
,Dali ste sigurni da želite brisati?,Are you sure you want to delete?
,Dali ste sigurni da želite deaktivirati korisnika:,Are you sure you want to deactivate the user:
,Dali ste sigurni da želite poništiti zadatak?,Are you sure you want to cancel the task?
,Dali ste sigurni da želite poništiti zahtjev?,Are you sure you want to cancel the request?
,Dali ste sigurni da želite ponovo aktivirati korisnika:,Are you sure you want to reactivate the user:
,Dan,Day
,Darivanje krvi,Blood donation
,Datum reaktivacije,Reactivation date
,Datum registracije,Date of registration
,deaktiviran:,deactivated:
,Deaktivirani korisnici,Deactivated users
,Decembar,December
,Direkcija teksta,Direction of the text
,do,to
,Do:,To:
,Dodaj godinu,Add Year
,Dodaj komentar!,Add a comment!
,Dodaj mjesec,Add month
,Dodaj polje,Add a field
,Dodaj službeno putovanje,Add a business trip
,Dodaj trening,Add training
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 400x200 px.,Allowed JPG / PNG / GIF formats. Recommended dimensions 400x200 px.
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 400x200 px.,Allowed JPG / PNG / GIF formats. Recommended dimensions 400x200 px.
