,Administrator,Administrators
,Menadžer administratora satnica,Laika administratora vadītājs
,Nadređeni,Superior
,Zaposlenik,Darbinieks
,Odaberi...,Izvēlies ...
,Nema dostupnih jezika.,Nav pieejama valodu.
,Dodaj službeno putovanje,Pievienojiet komandējumus
,Nema unesenih država.,Netika iekļauta neviena valsts.
,Nema unesenih statusa.,Nav ievadīts statuss.
,Januar,Janvāris
,Februar,Februāris
,Mart,Marts
,April,Aprīlis
,Maj,Maijs
,Juni,Jūnijs
,Juli,Jūlijs
,Avgust,Augusts
,Septembar,Septembris
,Oktobar,Oktobris
,Novembar,Novembris
,Decembar,Decembris
,Moj profil,Mans profils
,Moji Zadaci/Ciljevi,Mani uzdevumi / mērķi
,Moji Zahtjevi,Mani lūgumi
,Uredi profil,Rediģēt profilu
,Zadaci/Ciljevi,Uzdevumi / mērķi
,Zahtjevi,Pieprasījumi
,Korisnici,Lietotāji
,Podešavanja,Iestatījumi
,Države,Valstis
,Informacije su uspješno sapšene!,Informācija ir sekmīgi uzņemta!
,Izmjene su uspješno sapšene!,Izmaiņas tika veiksmīgi izmantotas!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,"Lietotāja vārds ir aizņemts. Lūdzu, mēģiniet kādu citu."
,Greška!,Kļūda!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Lūdzu, ievadiet nepareizu lietotājvārdu un / vai paroli, lūdzu, mēģiniet vēlreiz."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,"Jūsu konts ir deaktivizēts. Lai iegūtu vairāk informācijas, sazinieties ar mums."
,Uspješno!,Veiksmīgi!
,Uspješno ste se odjavili.,Jūs esat veiksmīgi izrakstījies.
,Neuspješno!,Neveiksmīgs!
,Vaš korisnički nalog je deaktiviran.,Jūsu konts ir deaktivizēts.
,Korisničko ime,Lietotājvārds
,Lozinka,Parole
,Prijava!,Ieiet!
,Zaboravili ste lozinku?,Aizmirsāt paroli?
,Vaša e-mail adresa,Jūsu e-pasta adrese
,Poništi lozinku,Atiestatīt paroli
,Nazad na stranicu za prijavu,Atpakaļ uz pieteikšanās lapu
,"Poštovani,",Labdien!
,"Zatražili ste reset lozinke, nova je u prilogu.","Jūs esat pieprasījis atiestatīšanas paroli, jauna ir pievienota."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"E-pasts ar norādījumiem, kas nosūtīti, lūdzu, pārbaudiet e-pasta ziņojumus, kurus norādījāt paroles atiestatīšanas pieprasījumā."
,Unesena e-ail adresa nije pronađena u bazi.,Ievadītā e-pasta adrese nav atrasta datu bāzē.
,Ažuriranje!,Atjaunināšana!
,Spasi!,Saglabājiet to!
,Osnovni podaci,Pamatinformācija
,Osnovni Podaci,Pamatdati
,Ime,Nosaukums
,Prezime,Uzvārds
,Fotografija,Foto
,Odaberi,Izvēlies
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Atļauts JPG / PNG / GIF formāts. Ieteicamie izmēri 480x640 pikseļi (portrets).
,Kontakt Podaci,Sazinieties ar datiem
,Država,Valsts
,Grad,Pilsēta
,PTT,Rt
,Adresa,Adrese
,Telefon,Tālrunis
,E-mail,E-pasts
,Ostali Podaci,Citi dati
,Jezik aplikacije,Pieteikuma valoda
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Nepareizs lapas ID, lūdzu, sazinieties ar administratoru."
,Prikaži,Parādīt
,Sakrij,Paslēpt
,Generiši,Izveidot
,Moje satnice,Mans grafiks
,Novi unos,Jauns ieraksts
,Dali ste sigurni da želite brisati?,Vai tiešām vēlaties dzēst?
,Još nije bilo unosa za:,Nebija vēl ierakstu par:
,Ukupno,Kopā
,Iskorišteno,Izmantots
,Ostalo,Cits
,Spašeno,Izglāba
,Odobreno,Apstiprināts
,Odbijeno,Noraidīts
,Dan,Dan
,Broj sati,Stundu skaits
,Status,Statuss
,Pregled,Pārskats
,ODOBRENO,APSTIPRINĀTS
,ODBIJENO,ODBIJENO
,Obradio:,Pārstrādā:
,Komentar:,Komentārs:
,Period od-do:,Periods no-līdz:
,do,uz
,Pregled/obrada zadatka,Pārskats / uzdevumu apstrāde
