,Administrator,管理者
,Menadžer administratora satnica,時間管理者
,Nadređeni,スーペリア
,Zaposlenik,従業員
,Odaberi...,選択...
,Nema dostupnih jezika.,利用可能な言語はありません。
,Dodaj službeno putovanje,出張を追加する
,Nema unesenih država.,国が入力されていません。
,Nema unesenih statusa.,ステータスは入力されません。
,Januar,1月
,Februar,2月
,Mart,3月
,April,4月
,Maj,5月
,Juni,6月
,Juli,7月
,Avgust,8月
,Septembar,9月
,Oktobar,10月
,Novembar,11月
,Decembar,12月
,Moj profil,私のプロフィール
,Moji Zadaci/Ciljevi,私の仕事/目標
,Moji Zahtjevi,私のリクエスト
,Uredi profil,プロフィールを編集
,Zadaci/Ciljevi,タスク/ゴール
,Zahtjevi,リクエスト
,Korisnici,ユーザー
,Podešavanja,設定
,Države,国
,Informacije su uspješno sapšene!,情報が正常に取得されました！
,Izmjene su uspješno sapšene!,変更は成功裏に奪取されました！
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,ユーザー名はビジーです。他の人にお試しください。
,Greška!,エラー！
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.",間違ったユーザー名やパスワードを入力してください。もう一度お試しください。
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,あなたのアカウントは無効になっています。詳細はお問い合わせください。
,Uspješno!,成功しました！
,Uspješno ste se odjavili.,あなたは正常にログアウトしました。
,Neuspješno!,失敗！
,Vaš korisnički nalog je deaktiviran.,あなたのアカウントは無効になっています。
,Korisničko ime,ユーザー名
,Lozinka,パスワード
,Prijava!,ログイン！
,Zaboravili ste lozinku?,パスワードを忘れましたか？
,Vaša e-mail adresa,あなたの電子メールアドレス
,Poništi lozinku,パスワードをリセットする
,Nazad na stranicu za prijavu,ログインページに戻る
,"Poštovani,",こんにちは、
,"Zatražili ste reset lozinke, nova je u prilogu.",あなたはリセットパスワードを要求しました、新しいが添付されています。
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,指示が送信された電子メールは、パスワードリセット要求で指定した電子メールのメッセージを確認してください。
,Unesena e-ail adresa nije pronađena u bazi.,入力した電子メールアドレスがデータベースに見つかりませんでした。
,Ažuriranje!,更新中！
,Spasi!,それを保存してください！
,Osnovni podaci,基本情報
,Osnovni Podaci,基本データ
,Ime,名前
,Prezime,姓
,Fotografija,写真
,Odaberi,選択する
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,許可されたJPG / PNG / GIF形式。推奨サイズは480x640ピクセル（ポートレート）です。
,Kontakt Podaci,連絡先データ
,Država,国
,Grad,都市
,PTT,PTT
