,Administrator,Адміністратор
,Menadžer administratora satnica,Часовий адміністратор
,Nadređeni,Начальник
,Zaposlenik,Працівник
,Odaberi...,Виберіть ...
,Nema dostupnih jezika.,Немає доступних мов.
,Dodaj službeno putovanje,Додайте відрядження
,Nema unesenih država.,Країни не ввійшли.
,Nema unesenih statusa.,Не введено статусу.
,Januar,Січень
,Februar,Лютий
,Mart,Березень
,April,Квітень
,Maj,Травень
,Juni,Червень
,Juli,Липень
,Avgust,Серпень
,Septembar,Вересень
,Oktobar,Жовтень
,Novembar,Листопад
,Decembar,Грудень
,Moj profil,Мій профіль
,Moji Zadaci/Ciljevi,Мої завдання / цілі
,Moji Zahtjevi,Мої запити
,Uredi profil,Редагувати профіль
,Zadaci/Ciljevi,Завдання / Цілі
,Zahtjevi,Запити
,Korisnici,Користувачі
,Podešavanja,Налаштування
,Države,Країни
,Informacije su uspješno sapšene!,Інформація була успішно захоплена!
,Izmjene su uspješno sapšene!,Зміни були успішно схоплені!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,"Ім'я користувача зайнято. Будь ласка, спробуйте когось іншого."
,Greška!,Помилка!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","Будь ласка, введіть неправильне ім'я користувача та / або пароль, будь ласка, повторіть спробу."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,Ваш обліковий запис деактивовано. Для отримання додаткової інформації зв'яжіться з нами.
,Uspješno!,Успішно!
,Uspješno ste se odjavili.,Ви успішно вийшли із системи.
,Neuspješno!,Невдало!
,Vaš korisnički nalog je deaktiviran.,Ваш обліковий запис деактивовано.
,Korisničko ime,Ім'я користувача
,Lozinka,Пароль
,Prijava!,Увійти!
,Zaboravili ste lozinku?,Забули свій пароль?
,Vaša e-mail adresa,Ваша електронна адреса
,Poništi lozinku,Скидання пароля
,Nazad na stranicu za prijavu,Повернутися на сторінку входу
,"Poštovani,",Привіт
,"Zatražili ste reset lozinke, nova je u prilogu.","Ви запросили пароль для скидання, додається новий."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"Електронна пошта з інструкціями була відправлена, будь ласка, перевірте повідомлення на пошті в тому, що ви вказали в запиті, щоб скинути пароль."
,Unesena e-ail adresa nije pronađena u bazi.,Введену адресу електронної пошти не знайдено в базі даних.
,Ažuriranje!,Оновлення!
,Spasi!,Збережіть це!
,Osnovni podaci,Основна інформація
,Osnovni Podaci,Основні дані
,Ime,Ім'я
,Prezime,Прізвище
,Fotografija,Фотографія
,Odaberi,Виберіть
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,Дозволені формати JPG / PNG / GIF. Рекомендовані розміри 480x640 пікс. (Портрет).
,Kontakt Podaci,Контактні дані
,Država,Країна
,Grad,Місто
,PTT,PTT
,Adresa,Адреса
,Telefon,Телефон
,E-mail,Електронна пошта
,Ostali Podaci,Інші дані
,Jezik aplikacije,Мова програми
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","Невірний ідентифікатор сторінки, будь ласка, зв'яжіться з адміністратором."
,Prikaži,Шоу
,Sakrij,Сховати
,Generiši,Генерувати
,Moje satnice,Мій графік
,Novi unos,Новий запис
,Dali ste sigurni da želite brisati?,"Ви впевнені, що хочете видалити?"
,Još nije bilo unosa za:,Там ще не було запис для:
,Ukupno,Всього
,Iskorišteno,Використовується
,Ostalo,Інше
,Spašeno,Врятований
,Odobreno,Затверджено
,Odbijeno,Відхилено
,Dan,Дан
,Broj sati,Кількість годин
,Status,Статус
,Pregled,Огляд
,ODOBRENO,ЗАТВЕРДЖЕНО
,ODBIJENO,ODBIJENO
