,Administrator,מנהל
,Menadžer administratora satnica,מנהל זמן מנהל
,Nadređeni,סופריור
,Zaposlenik,עובד
,Odaberi...,בחר ...
,Nema dostupnih jezika.,אין שפות זמינות.
,Nema unesenih država.,לא הוזנו ארצות.
,Nema unesenih statusa.,לא הוזן סטטוס.
,Januar,ינואר
,Februar,פברואר
,Mart,מרץ
,April,אפריל
,Maj,מאי
,Juni,יוני
,Juli,יולי
,Avgust,אוגוסט
,Septembar,ספטמבר
,Oktobar,אוקטובר
,Novembar,נובמבר
,Decembar,דצמבר
,Moj profil,הפרופיל שלי
,Moji Zadaci/Ciljevi,המטלות שלי / מטרות
,Moji Zahtjevi,הבקשות שלי
,Uredi profil,ערוך פרופיל
,Zadaci/Ciljevi,משימות / מטרות
,Zahtjevi,בקשות
,Korisnici,משתמשים
,Podešavanja,הגדרות
,Države,מדינות
,Informacije su uspješno sapšene!,המידע נלכד בהצלחה!
,Izmjene su uspješno sapšene!,השינויים נתפסו בהצלחה!
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,שם המשתמש תפוס. נסה מישהו אחר.
,Greška!,שגיאה!
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.","הזן את שם המשתמש ו / או הסיסמה הלא נכונים, נסה שוב."
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,החשבון שלך הושבת. לקבלת מידע נוסף פנה אלינו.
,Uspješno!,בהצלחה!
,Uspješno ste se odjavili.,יצאת בהצלחה.
,Neuspješno!,נכשל!
,Vaš korisnički nalog je deaktiviran.,החשבון שלך מושבת.
,Korisničko ime,שם משתמש
,Lozinka,סיסמה
,Prijava!,כניסה!
,Zaboravili ste lozinku?,שכחת את הסיסמה שלך?
,Vaša e-mail adresa,כתובת הדואר האלקטרוני שלך
,Poništi lozinku,איפוס סיסמה
,Nazad na stranicu za prijavu,חזרה לדף ההתחברות
,"Poštovani,","שלום,"
,"Zatražili ste reset lozinke, nova je u prilogu.","ביקשת סיסמת איפוס, חדשה מצורפת."
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,"דואר אלקטרוני עם הוראות שנשלחו, בדוק את ההודעות בדוא""ל שסיפקת בבקשת איפוס הסיסמה."
,Unesena e-ail adresa nije pronađena u bazi.,כתובת הדואר האלקטרוני שהוזנה לא נמצאה במסד הנתונים.
,Ažuriranje!,מעדכן!
,Spasi!,שמור אותו!
,Osnovni podaci,מידע בסיסי
,Osnovni Podaci,נתונים בסיסיים
,Ime,שם
,Prezime,שם משפחה
,Fotografija,תמונה
,Odaberi,בחר
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,פורמטים JPG / PNG / GIF מותרים. מידות מומלצות 480x640 פיקסלים (לאורך).
,Kontakt Podaci,נתוני קשר
,Država,ארץ
,Grad,עיר
,PTT,PTT
,Adresa,כתובת
,Telefon,טלפון
,E-mail,דואר אלקטרוני
,Ostali Podaci,נתונים אחרים
,Jezik aplikacije,שפת יישום
,"Pogrešan ID stranice, molimo kontaktirajte administratora.","מזהה דף שגוי, פנה למנהל המערכת."
,Prikaži,הצג
,Sakrij,הסתר
,Generiši,צור
,Moje satnice,לוח הזמנים שלי
,Novi unos,רשומה חדשה
,Dali ste sigurni da želite brisati?,האם אתה בטוח שברצונך למחוק?
,Još nije bilo unosa za:,עדיין לא היתה כניסה ל:
,Ukupno,סך הכל
,Iskorišteno,משמש
,Ostalo,אחר
,Spašeno,ניצלה
,Odobreno,אושרה
,Odbijeno,נדחה
,Dan,דן
,Broj sati,מספר השעות
,Status,סטטוס
,Pregled,סקירה כללית
,ODOBRENO,אושר
,ODBIJENO,ODBIJENO
,Obradio:,מעובד על ידי:
,Komentar:,הערה:
,Period od-do:,תקופת מ-עד:
,do,post
,Pregled/obrada zadatka,סקירה כללית / עיבוד משימות
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.","המשימה עדיין לא התקבלה על ידך, ולכן לא ניתן לעבד את פריטי המשימות."
,Prihvati zadatak,קבל את המשימה
,Zaduženi:,אחראי:
,Izvršiti do:,בצע ל:
,Kreirao:,נוצר על ידי:
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.","המשימה / יעד מסומנת כהשלמה, ולכן לא ניתן לשנות את הסטטוס של המשימה. אתה יכול לעקוב אחר cometers כאן להעריך את המשימה כאן."
,stavke su završene. sada možete Zadatak oznaćiti završenim.,הפריטים הושלמו. עכשיו אתה יכול לסמן את המשימה הושלמה.
,Završi zadatak,סיים את המשימה
,Komentari,הערות
,Ostavite komentar,השאירו תגובה
,Dodaj komentar!,הוסף תגובה!
,"Zadatak je završen i ocjenjen, a s tim su i komentari zatvoreni.","המשימה הושלמה והערכה, ועם זאת היו תגובות סגורות."
,Ocjena:,דירוג:
,Pozicija,מיקום
,Sektor,מגזר
,Nadređeni korisnik,משתמש מעולה
,Datum registracije,תאריך הרישום
,Datum reaktivacije,תאריך הפעלה מחדש
,Satnice,לוח זמנים
,Dodaj godinu,הוסף שנה
,Dodaj mjesec,הוסף חודש
,Još niste počeli unositi satnice,עדיין לא התחלת להיכנס ללוח הזמנים
,Aktivni,פעיל
,Arhiva,ארכיון
,Zahtjev za G.O.,בקשה ל- G.O
,Od:,מ:
,Do:,אל:
