,Administrator,管理員
,Menadžer administratora satnica,時間管理員經理
,Nadređeni,卓越
,Zaposlenik,僱員
,Odaberi...,選擇...
,Nema dostupnih jezika.,沒有可用的語言。
,Nema unesenih država.,沒有國家進入。
,Nema unesenih statusa.,沒有進入狀態。
,Januar,一月
,Februar,二月
,Mart,三月
,April,四月
,Maj,五月
,Juni,六月
,Juli,七月
,Avgust,八月
,Septembar,九月
,Oktobar,十月
,Novembar,十一月
,Decembar,十二月
,Moj profil,我的個人資料
,Moji Zadaci/Ciljevi,我的任務/目標
,Moji Zahtjevi,我的要求
,Uredi profil,編輯個人資料
,Zadaci/Ciljevi,任務/目標
,Zahtjevi,要求
,Korisnici,用戶
,Podešavanja,設置
,Države,狀態
,Informacije su uspješno sapšene!,信息已被成功捕獲！
,Izmjene su uspješno sapšene!,變化被抓住了！
,Korisničko ime je zauzeto. Molimo pokušajte sa nekim drugim.,用戶名正忙。請嘗試別人。
,Greška!,錯誤！
,"Pogrešno korisičko ime i/ili lozinka, molimo pokušajte ponovo.",請輸入錯誤的用戶名和/或密碼，請重試。
,Vaš račun je deaktiviran. Za više informacija kontaktirajte  nas.,您的帳戶已被停用。欲了解更多信息聯繫我們。
,Uspješno!,成功了！
,Uspješno ste se odjavili.,您已成功註銷。
,Neuspješno!,失敗！
,Vaš korisnički nalog je deaktiviran.,您的帳戶已停用。
,Korisničko ime,用戶名
,Lozinka,密碼
,Prijava!,註冊！
,Zaboravili ste lozinku?,忘記密碼？
,Vaša e-mail adresa,您的電子郵件地址
,Poništi lozinku,重置密碼
,Nazad na stranicu za prijavu,返回登錄頁面
,"Poštovani,",親愛的先生們，
,"Zatražili ste reset lozinke, nova je u prilogu.",你已經要求重置密碼，新的連接。
,E-mail sa uputama je poslan molimo provjerite poruke na email-u koji ste naveli u zahtjevu za reset lozinke.,發送指示的電子郵件，請檢查您在密碼重置請求中提供的電子郵件上的消息。
,Unesena e-ail adresa nije pronađena u bazi.,在數據庫中找不到輸入的電子郵件地址。
,Ažuriranje!,更新！
,Spasi!,保存吧！
,Osnovni podaci,基本信息
,Osnovni Podaci,基本數據
,Ime,名
,Prezime,姓
,Fotografija,攝影
,Odaberi,選擇
,Dozvoljeni formati JPG/PNG/GIF. Preporućene dimenzije 480x640 px (portret).,允許使用JPG / PNG / GIF格式。建議尺寸480x640像素（肖像）。
,Kontakt Podaci,聯繫人數據
,Država,國家
,Grad,城市
,PTT,PTT
,Adresa,地址
,Telefon,電話
,E-mail,電子郵件
,Ostali Podaci,其他數據
,Jezik aplikacije,應用語言
,"Pogrešan ID stranice, molimo kontaktirajte administratora.",頁面ID不正確，請聯繫管理員。
,Prikaži,節目
,Sakrij,隱藏
,Generiši,產生
,Moje satnice,我的時間表
,Novi unos,新條目
,Dali ste sigurni da želite brisati?,你確定要刪除嗎？
,Još nije bilo unosa za:,還沒有一個條目：
,Ukupno,總
,Iskorišteno,利用
,Ostalo,其他
,Spašeno,保存
,Odobreno,理所當然
,Odbijeno,被拒絕
,Dan,天
,Broj sati,小時數
,Status,狀態
,Pregled,概觀
,ODOBRENO,批准
,ODBIJENO,遭到拒絕
,Obradio:,處理方式：
,Komentar:,發表評論：
,Period od-do:,期間從：到：
,do,至
,Pregled/obrada zadatka,概述/任務處理
,"Zadatak jos nije prihvaćen sa Vaše strane, i zbog toga nije moguće obraditi stavke zadatka.",任務尚未被您接受，因此無法處理任務項目。
,Prihvati zadatak,接受任務
,Zaduženi:,負責人：
,Izvršiti do:,執行到：
,Kreirao:,創建者：
,"Zadatak/Cilj je oznaćen kao završen, te zbog toga nemožete mijenjati status zadatka. Ovdje možete pratiti kometare i ocjenu zadatka.",任務/目標被標記為已完成，因此您不能更改任務的狀態。您可以在這裡跟隨訪問者，並在這裡評估任務。
,stavke su završene. sada možete Zadatak oznaćiti završenim.,項目已完成。你現在可以標記任務完成。
,Završi zadatak,完成任務
,Komentari,評論
,Ostavite komentar,留下評論
,Dodaj komentar!,添加評論！
,"Zadatak je završen i ocjenjen, a s tim su i komentari zatvoreni.",任務完成並評估，並由此結束評論。
,Ocjena:,評分：
,Pozicija,位置
,Sektor,扇形
,Nadređeni korisnik,優越的用戶
,Datum registracije,註冊日期
,Datum reaktivacije,重新激活日期
,Satnice,隊長
,Dodaj godinu,添加年份
,Dodaj mjesec,添加月份
,Još niste počeli unositi satnice,你還沒有開始輸入時間表
,Aktivni,活性
,Arhiva,檔案
,Zahtjev za G.O.,請求G.O.
,Od:,來自：
,Do:,於：
,Na čekanju...,等待...
,Zahtjev kreiran:,創建的請求：
,Zahtjev odobren:,請求批准：
,Zahtjev odbijen:,請求被拒絕：
,Dali ste sigurni da želite poništiti zahtjev?,你確定要取消這個請求嗎？
,Dali ste sigurni da želite arhivirati zahtjev?,你確定要存檔請求嗎？
,Nema spašenih zahtjeva prema odabranim parametrima.,沒有保存的所選參數的請求。
,Na čekanju,有待
,Prihvaćen,公認
,Završen,完
,Dali ste sigurni da želite arhivirati zadatak?,你確定要存檔任務嗎？
,Nema spašenih zadataka prema odabranim parametrima.,沒有為選定的參數保存的任務。
,Neovlašten pristup,未經授權的訪問
,"Nemate ovlasti za pristup ovom dijelu aplikacije. Ukoliko je doslo do greške, kontaktirajte administratora.",您無權訪問這部分應用程序。如果發生錯誤，請聯繫管理員。
,Nazad na moj profil,回到我的個人資料
,Zahtjevi za G.O.,請求G.O.
,Obrada zahtjeva!,處理請求！
,Status zahtjeva:,請求狀態：
,Komentar,評論
,Gradovi,城市
